"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,          63,      -4.973285819,      -7.424328779,      -7.764176771,      -10.37021976,      -5.539409665
          0,           0,          64,      -4.962396321,      -7.422613048,      -7.761683831,      -10.35571155,      -5.541550144
          0,           0,          65,      -4.951939614,      -7.420811931,      -7.759782832,      -10.34181517,      -5.543710159
          0,           0,          66,      -4.942115752,      -7.418924114,       -7.75844462,      -10.32879953,       -5.54587092
          0,           0,          67,       -4.93309376,       -7.41694594,      -7.757602412,      -10.31689286,      -5.548019946
          0,           0,          68,      -4.925009681,      -7.414870416,      -7.757155946,      -10.30628176,       -5.55015318
          0,           0,          69,      -4.917966584,      -7.412686603,      -7.756975975,      -10.29711311,      -5.552275616
          0,           0,          70,      -4.912035697,      -7.410379436,      -7.756909584,      -10.28949732,       -5.55440052
          0,           0,          71,      -4.907257999,      -7.407930014,      -7.756786954,      -10.28351221,      -5.556547557
          0,           0,          72,       -4.90364577,       -7.40531632,       -7.75643002,      -10.27920655,      -5.558740213
          0,           0,          73,      -4.901183788,      -7.402514327,      -7.755663112,      -10.27660299,      -5.561002981
          0,           0,          74,      -4.899829993,      -7.399499427,      -7.754325096,      -10.27569993,      -5.563358689
          0,           0,          75,      -4.899515566,      -7.396248062,      -7.752281921,      -10.27647215,      -5.565826297
          0,           0,          76,      -4.900144516,      -7.392739457,      -7.749438011,      -10.27887007,      -5.568419333
          0,           0,          77,      -4.901592975,      -7.388957317,      -7.745744788,      -10.28281757,      -5.571145033
          0,           0,          78,      -4.903708576,      -7.384891371,       -7.74120489,       -10.2882082,      -5.574004147
          0,           0,          79,      -4.906310431,      -7.380538666,      -7.735871363,      -10.29489994,      -5.576991282
          0,           0,          80,      -4.909190398,      -7.375904517,      -7.729842048,      -10.30270862,      -5.580095645
          0,           0,          81,      -4.912116415,      -7.371003083,      -7.723250201,      -10.31140053,       -5.58330201
          0,           0,          82,      -4.914838689,      -7.365857529,      -7.716252957,      -10.32068537,      -5.586591764
          0,           0,          83,      -4.917099281,      -7.360499801,      -7.709019324,      -10.33021111,      -5.589943917
          0,           0,          84,       -4.91864515,      -7.354970024,       -7.70171912,      -10.33956351,      -5.593335994
          0,           0,          85,      -4.919243937,      -7.349315592,      -7.694513786,      -10.34827364,      -5.596744767
          0,           0,          86,      -4.918700826,      -7.343589984,      -7.687549464,      -10.35583681,      -5.600146833
          0,           0,          87,       -4.91687403,       -7.33785139,      -7.680952339,      -10.36174485,      -5.603519046
          0,           0,          88,      -4.913686132,      -7.332161208,      -7.674825945,      -10.36553075,       -5.60683886
          0,           0,          89,      -4.909128957,      -7.326582487,      -7.669250049,      -10.36681934,      -5.610084612
          0,           0,          90,      -4.903260836,      -7.321178378,      -7.664280716,      -10.36537322,      -5.613235795
          0,           0,          91,      -4.896196726,      -7.316010655,      -7.659951228,      -10.36112152,      -5.616273338
          0,           0,          92,       -4.88809312,      -7.311138353,      -7.656273608,      -10.35416257,      -5.619179911
          0,           0,          93,      -4.879130489,      -7.306616549,      -7.653240634,      -10.34473956,      -5.621940238
          0,           0,          94,      -4.869496066,      -7.302495308,      -7.650828248,      -10.33319682,      -5.624541407
          0,           0,          95,      -4.859369183,      -7.298818794,      -7.648998356,      -10.31992879,      -5.626973129
          0,           0,          96,      -4.848910463,      -7.295624534,      -7.647702026,      -10.30533383,      -5.629227937
          0,           0,          97,        -4.8382553,      -7.292942824,       -7.64688307,      -10.28977985,      -5.631301272
          0,           0,          98,      -4.827511411,      -7.290796258,      -7.646481967,      -10.27358454,      -5.633191454
          0,           0,          99,      -4.816759849,      -7.289199369,      -7.646440036,      -10.25700833,       -5.63489954
          0,           0,         100,      -4.806058713,      -7.288158375,      -7.646703684,      -10.24025699,      -5.636429064
          0,           0,         101,      -4.795448766,      -7.287671042,      -7.647228508,      -10.22349021,      -5.637785693
          0,           0,         102,      -4.784960168,      -7.287726677,      -7.647982953,      -10.20683294,      -5.638976846
          0,           0,         103,      -4.774619635,      -7.288306284,       -7.64895126,      -10.19038741,      -5.640011287
          0,           0,         104,      -4.764457328,      -7.289382922,      -7.650135428,      -10.17424411,      -5.640898752
          0,           0,         105,      -4.754512888,      -7.290922298,      -7.651555999,      -10.15849089,      -5.641649616
          0,           0,         106,      -4.744840142,       -7.29288365,      -7.653251593,      -10.14321974,      -5.642274637
          0,           0,         107,      -4.735510126,      -7.295220912,      -7.655277212,      -10.12853102,      -5.642784768
          0,           0,         108,      -4.726612316,      -7.297884186,      -7.657701445,       -10.1145355,      -5.643191036
          0,           0,         109,      -4.718254102,      -7.300821465,       -7.66060278,      -10.10135438,      -5.643504473
          0,           0,         110,      -4.710558773,      -7.303980534,      -7.664065243,      -10.08911792,      -5.643736097
          0,           0,         111,      -4.703662359,      -7.307310918,      -7.668173572,      -10.07796309,      -5.643896891
          0,           0,         112,      -4.697709754,      -7.310765721,       -7.67300808,      -10.06803079,      -5.643997802
          0,           0,         113,        -4.6928505,      -7.314303154,      -7.678639266,      -10.05946284,      -5.644049721
          0,           0,         114,      -4.689234509,      -7.317887572,      -7.685122168,      -10.05239921,      -5.644063449
          0,           0,         115,      -4.687007885,       -7.32148984,      -7.692490381,      -10.04697534,      -5.644049641
          0,           0,         116,      -4.686308833,      -7.325086909,      -7.700749629,      -10.04331967,      -5.644018744
          0,           0,         117,      -4.687263488,      -7.328660576,      -7.709870822,       -10.0415512,      -5.643980915
          0,           0,         118,      -4.689981339,      -7.332195474,      -7.719782641,      -10.04177667,      -5.643945944
          0,           0,         119,      -4.694549762,      -7.335676448,      -7.730363961,      -10.04408709,      -5.643923177
          0,           0,         120,      -4.701027009,      -7.339085569,      -7.741436837,      -10.04855302,       -5.64392145
          0,           0,         121,      -4.709432863,      -7.342399099,      -7.752761381,      -10.05521783,      -5.643949036
          0,           0,         122,      -4.719736035,      -7.345584794,      -7.764034618,      -10.06408812,      -5.644013604
          0,           0,         123,      -4.731837381,      -7.348599917,      -7.774896093,      -10.07512005,      -5.644122189
          0,           0,         124,      -4.745548342,      -7.351390377,      -7.784943227,      -10.08820062,       -5.64428118
          0,           0,         125,      -4.760564962,      -7.353891298,       -7.79375863,      -10.10312262,      -5.644496308
          0,           0,         126,      -4.776440009,      -7.356029268,       -7.80094915,      -10.11955349,      -5.644772653
          0,           0,         127,      -4.792559645,      -7.357726332,      -7.806192452,      -10.13700035,      -5.645114645
          0,           0,         128,      -4.808136873,      -7.358905572,      -7.809282582,      -10.15477857,      -5.645526078
          0,           0,         129,      -4.822239813,      -7.359497855,      -7.810163432,      -10.17199868,      -5.646010132
          0,           0,         130,      -4.833873634,      -7.359449063,      -7.808940637,      -10.18759519,      -5.646569387
          0,           0,         131,      -4.842122457,      -7.358726931,      -7.805868314,      -10.20042311,       -5.64720586
          0,           0,         132,      -4.846327911,      -7.357326516,      -7.801314665,      -10.20943237,      -5.647921036
          0,           0,         133,      -4.846246313,      -7.355273482,      -7.795716167,      -10.21388958,      -5.648715909
          0,           0,         134,      -4.842116283,      -7.352624658,      -7.789531277,      -10.21356816,      -5.649591034
          0,           0,         135,      -4.834603557,      -7.349465748,      -7.783201954,      -10.20881676,       -5.65054657
          0,           0,         136,      -4.824650249,      -7.345906543,       -7.77712682,      -10.20046925,      -5.651582343
          0,           0,         137,      -4.813295173,      -7.342074303,      -7.771645919,      -10.18964389,      -5.652697895
          0,           0,         138,      -4.801526019,      -7.338106187,      -7.767034703,      -10.17752417,       -5.65389254
          0,           0,         139,      -4.790190482,      -7.334141586,      -7.763504147,      -10.16519421,      -5.655165412
          0,           0,         140,      -4.779962304,      -7.330315069,      -7.761204191,       -10.1535524,      -5.656515506
          0,           0,         141,      -4.771343856,      -7.326750421,      -7.760228388,        -10.143289,      -5.657941715
          0,           0,         142,      -4.764686597,      -7.323555989,      -7.760618432,      -10.13490139,       -5.65944285
          0,           0,         143,      -4.760216359,      -7.320821361,      -7.762367872,      -10.12872429,      -5.661017664
          0,           0,         144,      -4.758056251,      -7.318615276,      -7.765424817,      -10.12496115,      -5.662664848
          0,           0,         145,      -4.758244126,       -7.31698456,      -7.769693841,      -10.12370995,      -5.664383037
          0,           0,         146,      -4.760743889,      -7.315953906,      -7.775037566,      -10.12498123,      -5.666170799
          0,           0,         147,      -4.765451063,      -7.315526322,      -7.781278744,       -10.1287083,       -5.66802662
          0,           0,         148,      -4.772193615,      -7.315684119,      -7.788203796,      -10.13475044,      -5.669948889
          0,           0,         149,      -4.780729437,      -7.316390356,      -7.795568966,      -10.14289062,       -5.67193588
          0,           0,         150,      -4.790742458,      -7.317590716,      -7.803110124,      -10.15282938,      -5.673985732
          0,           0,         151,      -4.801840123,      -7.319215808,      -7.810556859,      -10.16417773,      -5.676096434
