"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -7.947972258,      -7.957232843,       -8.29468474,       -7.89506586
          0,           0,          77,      -7.955600356,      -7.965188585,      -8.306081663,      -7.902695324
          0,           0,          78,      -7.960948488,      -7.970478683,      -8.314314081,      -7.907971087
          0,           0,          79,      -7.963781721,      -7.973124576,      -8.320293805,      -7.910847181
          0,           0,          80,      -7.964668905,      -7.974510349,      -8.326504667,      -7.912156951
          0,           0,          81,      -7.966359455,      -7.975836966,      -8.328334554,      -7.913913434
          0,           0,          82,      -7.966301347,      -7.975306629,      -8.329892461,      -7.913764844
          0,           0,          83,      -7.968331673,      -7.976110684,       -8.32543198,      -7.915608014
          0,           0,          84,      -7.969600446,      -7.977111887,      -8.322232995,      -7.916710479
          0,           0,          85,      -7.967172815,      -7.975832692,      -8.321595148,      -7.914488784
          0,           0,          86,      -7.966035966,       -7.97600957,      -8.318702141,      -7.914133449
          0,           0,          87,        -7.9669011,      -7.976769184,      -8.317362268,      -7.915121253
          0,           0,          88,      -7.976158685,      -7.984462284,      -8.317432861,      -7.924211038
          0,           0,          89,      -7.996105452,      -8.000793864,      -8.316185988,       -7.94321005
          0,           0,          90,      -8.000032319,      -8.004778668,      -8.322889588,      -7.946679648
          0,           0,          91,      -7.999200768,      -8.003319076,      -8.317830564,      -7.945655065
          0,           0,          92,      -7.996356278,      -8.000789837,      -8.319485167,      -7.943020946
          0,           0,          93,      -7.994242133,      -7.997924996,       -8.31437477,      -7.940883194
          0,           0,          94,      -7.995013149,      -7.998117699,      -8.313453201,       -7.94151534
          0,           0,          95,      -7.994648756,      -7.997609302,      -8.311112139,       -7.94113807
          0,           0,          96,      -7.993536084,      -7.995563288,      -8.313241045,      -7.939277697
          0,           0,          97,      -8.022072215,      -8.018093282,      -8.326959693,       -7.96646859
          0,           0,          98,      -8.049371378,      -8.041446347,      -8.362635575,      -7.991918484
          0,           0,          99,      -8.072377159,       -8.06695763,       -8.38265371,      -8.019171402
          0,           0,         100,       -8.08903005,      -8.085602412,      -8.399214349,      -8.037413713
          0,           0,         101,      -8.098073616,      -8.094601742,      -8.407206165,      -8.046468108
          0,           0,         102,      -8.104113621,      -8.099978746,      -8.412073428,      -8.052169859
          0,           0,         103,      -8.108610234,      -8.104882783,      -8.416151471,      -8.056545843
          0,           0,         104,      -8.113716149,      -8.115325229,      -8.424314096,      -8.060807497
          0,           0,         105,      -8.126568217,      -8.126839866,      -8.426540096,      -8.072099412
          0,           0,         106,      -8.133974843,      -8.132913765,      -8.430609262,      -8.079315259
          0,           0,         107,      -8.136615381,      -8.133748145,      -8.433965156,      -8.082386913
          0,           0,         108,      -8.137505674,      -8.132209258,      -8.437769313,      -8.083687094
          0,           0,         109,      -8.139198923,      -8.131557474,      -8.441507414,      -8.085676985
          0,           0,         110,      -8.143184479,      -8.133882591,      -8.445592537,      -8.089829308
          0,           0,         111,      -8.149013156,       -8.13907468,      -8.450469607,      -8.095779525
          0,           0,         112,      -8.156625518,      -8.146908283,      -8.455156121,      -8.103475578
          0,           0,         113,      -8.165415667,      -8.156387818,      -8.459405044,      -8.112379367
          0,           0,         114,       -8.17469419,      -8.166819102,      -8.463581793,      -8.121747363
          0,           0,         115,      -8.184070651,      -8.177454218,      -8.467496215,      -8.131211057
          0,           0,         116,      -8.192704295,      -8.187521197,        -8.4713384,      -8.139891347
          0,           0,         117,      -8.200567066,      -8.196680739,      -8.474767501,      -8.147795301
          0,           0,         118,      -8.207683024,      -8.205070832,      -8.477497853,       -8.15505216
          0,           0,         119,      -8.214086341,      -8.212597023,       -8.48007525,      -8.161516647
          0,           0,         120,      -8.219964905,      -8.219348365,      -8.482045555,      -8.167366771
          0,           0,         121,      -8.225414673,      -8.225299039,       -8.48381253,      -8.172737794
          0,           0,         122,       -8.22940217,      -8.229825521,      -8.486179252,       -8.17666901
          0,           0,         123,      -8.233043941,      -8.233559138,      -8.487940515,      -8.180250022
