"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
83, 5.869000032500000e-02, -3.802635805630503e-02, 1.586861003773986e+02, -8.919116011093767e-01, 5.291860459582500e-01, 5.753722929861389e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.613124535656867e-03
84, 5.149000138000000e-02, -3.599337852580232e-02, 1.453985981127144e+02, -8.285816668903716e-01, 5.621866919235263e-01, 5.329809673577121e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.486301318561234e-03
85, 4.473999887700000e-02, -3.389028465845557e-02, 1.311512502407080e+02, -7.586797604995005e-01, 5.959223600018595e-01, 4.876368814157697e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.522899936767502e-03
86, 3.844000026600000e-02, -3.171811260404538e-02, 1.158057763170845e+02, -6.810799302213583e-01, 6.299352595089761e-01, 4.388668083782059e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.223401631245057e-03
87, 3.260000050100000e-02, -2.948109446637338e-02, 9.914931605276874e+01, -5.940902140810277e-01, 6.636817398606609e-01, 3.862603221707956e-04, 0.000000000000000e+00, 0.000000000000000e+00, -5.887571496855207e-04
88, 2.723000012300000e-02, -2.718419978786347e-02, 8.103092101755561e+01, -4.961604555246271e-01, 6.960418056929947e-01, 3.291719268890556e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.325263869604571e-04
89, 2.232000045500000e-02, -2.482329437156798e-02, 6.121132993606621e+01, -3.850203179372332e-01, 7.254897933916863e-01, 2.670690731327909e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.574943494244046e-04
90, 1.789999939500000e-02, -2.241364555514381e-02, 3.957652827617855e+01, -2.586965967939225e-01, 7.494796699168232e-01, 1.998214247551681e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.635129868380558e-03
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.593876688258255e+01, -1.148240542910628e-01, 7.637247485705747e-01, 1.266593904852137e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.547030265469276e-03
92, 1.049000024800000e-02, -1.742916196961543e-02, -9.602503868428062e+00, 4.810808773948731e-02, 7.625900668610822e-01, 4.850320848941310e-05, 0.000000000000000e+00, 0.000000000000000e+00, 7.488377159083445e-03
93, 7.519999985000000e-03, -1.486756313872443e-02, -3.661310327515929e+01, 2.289463467873761e-01, 7.376497416558728e-01, -3.339236584701789e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.034737489023038e-02
94, 5.040000193000000e-03, -1.226032473458219e-02, -6.415680904403314e+01, 4.235862150657852e-01, 6.775560664314303e-01, -1.160364404008534e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.113823132753164e-02
95, 3.049999941000000e-03, -9.605565346412577e-03, -8.986802777543446e+01, 6.202898476024800e-01, 5.754643992453494e-01, -1.941209569487613e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.366839323450458e-02
96, 1.560000004000000e-03, -6.917517506923035e-03, -1.129242258276465e+02, 7.913261442542098e-01, 4.182346907838868e-01, -2.536652209672863e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.124686949678761e-03
97, 5.600000150000000e-04, -4.173159738460802e-03, -1.286464899076471e+02, 9.297478833883495e-01, 1.922794648643485e-01, -2.887660367536400e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.195204411780896e-02
98, 5.999999800000000e-05, -1.375329724321098e-03, -1.210024043771820e+02, 9.929468699036619e-01, 1.076653864170491e-02, -3.441113223364934e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.543038932801474e-03
99, 0.000000000000000e+00, 0.000000000000000e+00, -1.035125600737198e+02, 1.009784894843596e+00, -7.253769224651941e-03, -3.965092346293673e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.848640965111467e-02
100, 5.999999800000000e-05, 1.375329724321098e-03, -9.906118129189372e+01, 9.962336916578667e-01, -5.180223951570568e-03, -4.067350380047661e-04, 0.000000000000000e+00, 0.000000000000000e+00, -6.778759546670158e-03
101, 5.600000150000000e-04, 4.173159738460802e-03, -9.871614609956062e+01, 9.821432968655226e-01, -3.248297965909509e-02, -3.918762482718432e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.866373924059504e-02
102, 1.560000004000000e-03, 6.917517506923035e-03, -9.427989172378668e+01, 9.562920750759302e-01, -6.429706744402032e-02, -3.805145395629043e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.422958078536383e-02
103, 3.049999941000000e-03, 9.605565346412577e-03, -8.946068965397384e+01, 9.303551980267061e-01, -8.208699763916054e-02, -3.665861252655603e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.302735200336075e-02
104, 5.040000193000000e-03, 1.226032473458219e-02, -8.412164091036959e+01, 8.990884933364400e-01, -9.410216616925611e-02, -3.510940146058896e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.016489497852200e-02
105, 7.519999985000000e-03, 1.486756313872443e-02, -7.889477521431741e+01, 8.700008877214050e-01, -1.000877653230752e-01, -3.354325962678796e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.827829801360971e-02
106, 1.049000024800000e-02, 1.742916196961543e-02, -7.364311968566007e+01, 8.421073392207860e-01, -1.024583717611776e-01, -3.192646113717971e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.529820175550808e-02
107, 1.394999958600000e-02, 1.994492353858276e-02, -6.913298039627097e+01, 8.181399497883312e-01, -1.004059110290093e-01, -3.057556355895474e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.005400189660487e-03
108, 1.789999939500000e-02, 2.241364555514381e-02, -6.628833819495745e+01, 8.006150961423040e-01, -9.275080619479707e-02, -2.976647538268567e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.045051682105581e-03
109, 2.232000045500000e-02, 2.482329437156798e-02, -6.052828073959378e+01, 7.748087252683229e-01, -9.211863769714945e-02, -2.795365065702864e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.546232638277525e-02
110, 2.723000012300000e-02, 2.718419978786347e-02, -4.744516071322124e+01, 7.274590212939051e-01, -1.079468546647172e-01, -2.365015067836959e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.533563222082165e-02
111, 3.260000050100000e-02, 2.948109446637338e-02, -4.241668205758226e+01, 7.083588465732099e-01, -1.084022614596899e-01, -2.184208116403334e-04, 0.000000000000000e+00, 0.000000000000000e+00, -7.714653215983897e-02
112, 3.844000026600000e-02, 3.171811260404538e-02, -7.157417462989179e+01, 8.004774267048964e-01, -5.146145945878840e-02, -3.082144555225956e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.648504257645486e-01
113, 4.473999887700000e-02, 3.389028465845557e-02, -1.201126146403959e+02, 9.546100840405957e-01, 2.978705140942143e-02, -4.612759517357159e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.883603287912684e-01
114, 5.149000138000000e-02, 3.599337852580232e-02, -1.192422130303781e+02, 9.475154617600110e-01, 3.630614859813150e-02, -4.635750150125981e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.778668823633247e-01
115, 5.869000032500000e-02, 3.802635805630503e-02, -2.055174034734161e+01, 6.210669106813406e-01, -7.286233783714458e-02, -1.602577709711650e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.780389941275705e-01
116, 6.633000075800000e-02, 3.998513962421356e-02, 1.342411011926507e+02, 1.093372194289329e-01, -2.200281806060271e-01, 3.260786853344960e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.410889340871162e-01
117, 7.440000027400000e-02, 4.186607976498817e-02, 2.497708099766744e+02, -2.771792229612673e-01, -2.972296136878860e-01, 7.002160698685499e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.212020323623600e-01
118, 8.290000259900000e-02, 4.366791468532204e-02, 2.710442661185427e+02, -3.562502836169458e-01, -2.751469905414101e-01, 7.825642293469924e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.104874920467654e-01
119, 9.181000292300000e-02, 4.538527151431038e-02, 2.182528578190349e+02, -1.906393050252005e-01, -2.020380626550092e-01, 6.265199030441404e-04, 0.000000000000000e+00, 0.000000000000000e+00, -4.144096861909904e-01
120, 1.011300012470000e-01, 4.701715290498424e-02, 1.427240607513010e+02, 5.287440081340408e-02, -1.321170705073388e-01, 3.895079437210061e-04, 0.000000000000000e+00, 0.000000000000000e+00, -4.546911567602818e-01
121, 1.108499988910000e-01, 4.856066993422563e-02, 7.642529474134615e+01, 2.685166771071347e-01, -8.399057812407479e-02, 1.761078435295145e-04, 0.000000000000000e+00, 0.000000000000000e+00, -3.782500289650060e-01
