"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
1585, 6.917616724967959e-02, -2.973737799959789e-02, -3.022916616010443e-02, -1.521358732100277e-01, 1.550743657256493e-01
1611, 6.298619508743290e-02, -2.834892256653965e-02, 3.849212533844361e-03, 2.506642544929717e-02, -2.529291094211153e-02
1637, 5.711802840232850e-02, -2.697428569905921e-02, 1.489122889557462e-02, 6.342747770619334e-02, -6.515084175120554e-02
1663, 5.161416530609130e-02, -2.560493918731233e-02, -1.186404381547733e-02, -4.788921518046399e-02, 4.933580252089486e-02
1689, 4.642483592033390e-02, -2.424836965865296e-02, 3.622261459170284e-03, 1.847979113091545e-02, -1.878609229187840e-02
1715, 4.156750440597530e-02, -2.290025756082438e-02, -1.876582759866324e-03, -1.101660498677517e-02, 1.111044177501208e-02
1741, 3.698146343231200e-02, -2.156858443409755e-02, -2.018236425555667e-02, -7.577985903058372e-02, 7.838950030200166e-02
1767, 3.265759348869320e-02, -2.025299329685166e-02, 6.136264079152065e-04, 9.833737834079983e-03, -9.567898483192651e-03
1793, 2.861636877059940e-02, -1.894965904860462e-02, 1.637597867303312e-02, 5.237274672646591e-02, -5.486154468639554e-02
1819, 2.490270137786870e-02, -1.765091661498222e-02, -1.290483817154903e-02, -4.109011260398221e-02, 4.303256703604781e-02
1845, 2.143678069114690e-02, -1.636627645081119e-02, -1.064340789828976e-02, -3.062710493602893e-02, 3.240928330863734e-02
1871, 1.820489764213560e-02, -1.509639325683225e-02, 8.714676670731079e-03, 2.567830147105859e-02, -2.706606990784136e-02
1897, 1.524919271469120e-02, -1.383469982012110e-02, -4.540087709584372e-03, -1.095993448929871e-02, 1.185880679038388e-02
1923, 1.256430149078370e-02, -1.258048504707171e-02, -2.369719545014263e-03, -4.043082663891314e-03, 4.674275189056186e-03
1949, 1.017087697982790e-02, -1.132951931436595e-02, 1.639309482851644e-03, 3.461298893570309e-03, -3.821859071509041e-03
1975, 8.062899112701419e-03, -1.008019082530402e-02, -1.090639312862767e-03, -2.382685741793369e-03, 2.598943247316304e-03
2001, 6.177186965942380e-03, -8.839930740998427e-03, -3.839906730090249e-03, -7.081157522350737e-03, 8.011799312063700e-03
2027, 4.468053579330440e-03, -7.616342723572054e-03, 6.639163079029331e-04, 1.621146604747205e-03, -1.688422048518748e-03
2053, 3.018766641616820e-03, -6.395904394745510e-03, -8.273258829629905e-04, -8.550459413483505e-04, 1.189773935632156e-03
2079, 1.912891864776610e-03, -5.156909487262624e-03, -4.650202030075297e-03, 8.194902247874603e-04, 3.212145572290696e-03
2105, 1.121968030929570e-03, -3.891586816935717e-03, -3.205559142095323e-03, 2.270973150309671e-03, 1.739670653425939e-03
2131, 5.391836166381840e-04, -2.616228997298826e-03, -2.208580256119282e-02, 3.729360294914244e-03, 1.944310658126038e-02
2157, 1.753866672515870e-04, -1.316370662084098e-03, -1.170357809555075e-01, 1.126696614305271e-02, 1.123525384469942e-01
2183, 0.000000000000000e+00, 0.000000000000000e+00, 2.733483583102095e-01, -6.204948625909428e-02, -2.714374246224538e-01
2209, 1.051127910614010e-04, 1.109998169805416e-03, -1.458798141725722e-01, 8.558263922382946e-02, 1.573975093442912e-01
2235, 3.451704978942870e-04, 2.196420524843632e-03, -3.422446260976665e-01, 9.596804614568380e-02, 3.554248284603385e-01
2261, 7.326900959014890e-04, 3.259419335881840e-03, 4.146289526945568e-02, -1.110461193779355e-03, -3.836302689247579e-02
2287, 1.276999711990360e-03, 4.301199455364230e-03, -1.645681735912730e-02, -2.562268371730498e-02, 9.209720168096739e-04
2313, 1.973092555999760e-03, 5.325545643144351e-03, 3.576996920786117e-01, -3.009899541183161e-01, -4.671712986028583e-01
2339, 2.858132123947140e-03, 6.326870040778836e-03, 4.028823750447953e-01, -3.788099157533358e-01, -5.528009355965553e-01
2365, 3.939032554626460e-03, 7.306569936299845e-03, 1.293234807374417e-02, -4.139566538897486e-02, -4.005448706077713e-02
2391, 5.185037851333620e-03, 8.272055091408371e-03, -1.170880574284339e+00, 1.565566211516393e+00, 1.954965798267123e+00
2417, 6.539613008499150e-03, 9.234530883199308e-03, -1.310162878004580e+00, 1.875548885756571e+00, 2.287777639927602e+00
2443, 7.984459400177000e-03, 1.019706917622402e-02, -2.165210027625327e-01, 3.556512534427895e-01, 4.163251974495695e-01
2469, 9.577721357345579e-03, 1.114996053099646e-02, 1.113729749975560e+00, -2.066712052484173e+00, -2.347284581395867e+00
2495, 1.134461164474490e-02, 1.209017898472396e-02, 1.259366354102951e+00, -2.471263788501310e+00, -2.773623563012048e+00
2521, 1.328635215759280e-02, 1.301859468444268e-02, 3.563012605395526e-01, -7.593446993074239e-01, -8.386979420117910e-01
2547, 1.542121171951290e-02, 1.393311843607180e-02, 1.760885870762839e-01, -3.919076727396829e-01, -4.293802554044036e-01
2573, 1.774638891220090e-02, 1.483560503627381e-02, 6.783077147916769e-02, -2.014643232824453e-01, -2.124647767364609e-01
2599, 2.023851871490480e-02, 1.573115061147534e-02, 6.537847183746559e-02, -1.868792085137104e-01, -1.979836755530532e-01
2625, 2.291005849838260e-02, 1.661856144127810e-02, 5.174709827755943e-02, -1.616942332019523e-01, -1.697727421861866e-01
2651, 2.576607465744020e-02, 1.749809418391986e-02, 3.216159313957398e-02, -1.094008347713272e-01, -1.140295108823699e-01
2677, 2.879580855369570e-02, 1.837275880027314e-02, 3.947357511132842e-02, -1.190820805660295e-01, -1.253177089033443e-01
2703, 3.199326992034910e-02, 1.924478735651333e-02, 1.011810148557972e-01, -3.982187742654575e-01, -4.108521650550409e-01
2729, 3.537228703498840e-02, 2.011268159032997e-02, -1.044972243038710e-01, 3.807351883374726e-01, 3.947188478484126e-01
2755, 3.891497850418090e-02, 2.098114871806526e-02, -2.185168972775953e-01, 1.016089332362816e+00, 1.038986878337681e+00
2781, 4.259017109870910e-02, 2.185738331045781e-02, 1.753288639820534e-01, -7.991947780895895e-01, -8.181411689146807e-01
2807, 4.645630717277530e-02, 2.273124585551069e-02, 3.877497070025617e-02, -2.561179941224014e-01, -2.584413964444814e-01
2833, 5.049252510070800e-02, 2.360835757702351e-02, -4.242383296647096e-02, 3.223609047349487e-01, 3.241152593054577e-01
2859, 5.469727516174320e-02, 2.449020123902759e-02, 1.385609103315328e-01, -7.302943517923688e-01, -7.432398449320540e-01
2885, 5.909299850463870e-02, 2.537375445965543e-02, -1.580226366298735e-01, 7.372734161676042e-01, 7.539252272458735e-01
2911, 6.365954875946039e-02, 2.626449905734217e-02, -1.138313527208955e-01, 7.757953939341562e-01, 7.833135483890939e-01
2937, 6.838649511337280e-02, 2.716628492272648e-02, 1.456949238267331e-01, -8.794060083296330e-01, -8.912040130584455e-01
2963, 7.332068681716920e-02, 2.807037471009621e-02, -2.847887619158658e-03, -7.081882459414424e-02, -6.918049141209673e-02
2989, 7.843562960624691e-02, 2.898437441041624e-02, -8.190210916339254e-02, 5.465876151943923e-01, 5.525136547116352e-01
3015, 8.375442028045650e-02, 2.990418831943558e-02, -5.586043961202225e-02, 3.670655137065867e-01, 3.712339023691045e-01
3041, 8.928063511848450e-02, 3.083101074738121e-02, 5.222558858284307e-02, -3.222923108581886e-01, -3.264947379815391e-01
3067, 9.501701593399051e-02, 3.176520433054712e-02, 7.913931942600760e-02, -6.168108737364307e-01, -6.215837563648399e-01
3093, 1.010102331638340e-01, 3.269739937040471e-02, -6.949038710727040e-02, 5.468438582905513e-01, 5.510498969742932e-01
3119, 1.072062253952030e-01, 3.364185126970805e-02, 6.599741324367060e-02, -4.041377027697433e-01, -4.094522658252827e-01
3145, 1.136637628078460e-01, 3.458530569628872e-02, -3.280133246055895e-02, 8.165767764057005e-02, 8.549964611566438e-02
3171, 1.203565001487730e-01, 3.553580249811984e-02, -1.088709972316220e-01, 8.764691839431783e-01, 8.830914354750142e-01
3197, 1.272729039192200e-01, 3.649787218969354e-02, -2.135461849685336e-02, 2.468695281835792e-01, 2.474854610312945e-01
3223, 1.344466507434840e-01, 3.746375341447084e-02, 5.924968677264470e-02, -5.744888118020018e-01, -5.773058676106478e-01
3249, 1.419069468975070e-01, 3.842608031583327e-02, 1.354394692817754e-02, -1.546619212745293e-01, -1.551395512236363e-01
3275, 1.496536135673520e-01, 3.938567360069457e-02, -1.208187539453332e-02, 2.181288537640664e-01, 2.179919159842275e-01
3301, 1.576814949512480e-01, 4.034463404493977e-02, 3.140768871091189e-02, -3.449839835292490e-01, -3.463009593243992e-01
3327, 1.660248339176180e-01, 4.129272901024876e-02, -4.069484697776715e-02, 3.810324003518054e-01, 3.831934019802123e-01
3353, 1.746245622634890e-01, 4.224991383003823e-02, 3.104477214375342e-02, -2.271066792738932e-01, -2.291378631526872e-01
3379, 1.835020482540130e-01, 4.321050485379428e-02, -2.770223050084861e-02, 1.290681476043827e-01, 1.312799015721244e-01
3405, 1.926559209823610e-01, 4.417531952526860e-02, -4.451799521165128e-02, 5.625983956204714e-01, 5.641767611402700e-01
3431, 2.020680904388430e-01, 4.515282571651660e-02, 4.237678555795812e-03, -4.364476653152408e-02, -4.384945589581250e-02
3457, 2.117756903171540e-01, 4.612901023666129e-02, -5.088948833800983e-03, -6.570303726941303e-03, -6.032135818418057e-03
3483, 2.217475175857540e-01, 4.711795726034632e-02, -2.552158417701623e-03, -1.640408319217044e-05, 2.310930004654849e-04
3509, 2.320270836353300e-01, 4.810157942642275e-02, -3.724351145595389e-02, 4.531808709840225e-01, 4.546763793987825e-01
3535, 2.426079511642460e-01, 4.908288873910467e-02, 2.323111612604678e-02, -1.708960402524434e-01, -1.722923480312059e-01
3561, 2.535301446914670e-01, 5.004207113688730e-02, 3.735705490397456e-02, -6.166023769893026e-01, -6.175462405336095e-01
3587, 2.647941112518310e-01, 5.097552090956994e-02, -5.417352521329550e-03, 8.044751603257261e-02, 8.062314782230046e-02
3613, 2.764054536819460e-01, 5.187599864372314e-02, 5.460250959191950e-03, 1.006458033400431e-01, 9.994522186907188e-02
3639, 2.883291840553280e-01, 5.275944518447155e-02, 2.147868437998083e-03, -1.663367360336509e-01, -1.660548477477348e-01
3665, 3.005529642105100e-01, 5.363101633329516e-02, -3.328044110524486e-02, 4.409920061618629e-01, 4.422393375054984e-01
3691, 3.130726814270020e-01, 5.449008252881651e-02, -2.457794761497600e-02, 5.756138285201717e-01, 5.759645935747453e-01
3717, 3.258830904960630e-01, 5.533654027270293e-02, 3.194935254181312e-03, -9.259553130923272e-02, -9.260954106537972e-02
3743, 3.389919400215150e-01, 5.615834414895325e-02, -1.215725110631966e-02, -5.650343000823813e-02, -5.565677686405304e-02
3769, 3.523894548416140e-01, 5.695616889370720e-02, -1.560061718340342e-02, 5.433636162318674e-01, 5.433580670409930e-01
3795, 3.660713136196140e-01, 5.772419430636054e-02, 2.972241133166451e-02, -4.248767663922890e-01, -4.258604024840112e-01
3821, 3.800389170646670e-01, 5.844548587998687e-02, 1.296195465081842e-02, -7.601329292359909e-01, -7.598511573442770e-01
3847, 3.942807912826540e-01, 5.911255512892547e-02, -1.423285266901340e-02, 5.035734179014099e-01, 5.037047903809324e-01
3873, 4.087766110897060e-01, 5.973649975913355e-02, 3.366709429940383e-03, 2.646374160305747e-01, 2.642806709739105e-01
3899, 4.235162138938900e-01, 6.030434425116858e-02, -1.060593631330298e-02, -1.429986004874147e-03, -1.044308141169413e-03
3925, 4.384851455688480e-01, 6.081490439036112e-02, -8.562322305101742e-04, 9.107490837914901e-02, 9.105692309848627e-02
3951, 4.536674916744230e-01, 6.125098575397328e-02, 8.836379293375886e-04, 5.923483344057073e-02, 5.919380481100000e-02
3977, 4.690417945384980e-01, 6.158452940333510e-02, -2.330156178732533e-03, 7.530956640174924e-02, 7.533988413337790e-02
4003, 4.845884144306180e-01, 6.182638102430474e-02, -2.643537134921809e-04, 7.471246232004757e-02, 7.471042926236503e-02
4029, 5.002762079238890e-01, 6.195061752045667e-02, 7.423636720917736e-04, 6.434318835879325e-02, 6.433994954586328e-02
4055, 5.160748958587650e-01, 6.194453728433997e-02, -3.792014556629043e-03, 2.744864513924361e-02, 2.743100935428065e-02
4081, 5.319590568542480e-01, 6.180566649882797e-02, 8.030215647558625e-03, 2.461017041594045e-01, 2.461871791617081e-01
4107, 5.478921532630920e-01, 6.151837559741025e-02, 2.892643162771691e-03, -4.264887440280314e-02, -4.257036700167138e-02
4133, 5.638301968574519e-01, 6.106672360913189e-02, -2.181279194707056e-02, -1.251278225379617e-01, -1.257923819145537e-01
4159, 5.797371864318850e-01, 6.044360581654832e-02, 5.153630590545870e-02, 9.051870643169780e-01, 9.065773181973446e-01
4185, 5.956164002418520e-01, 5.966867722948113e-02, 2.296037259071847e-02, 5.969634547957840e-02, 6.084106366213084e-02
4211, 6.114472150802610e-01, 5.874173280979553e-02, -9.360350011825330e-02, -9.650283383494292e-01, -9.690303080245871e-01
4237, 6.271871328353880e-01, 5.765421372801102e-02, 3.048215139022825e-02, 4.672620444236102e-01, 4.682364897415337e-01
4263, 6.428214907646180e-01, 5.641279296468191e-02, 1.006600360331935e-01, 7.669372539704350e-01, 7.726402693831649e-01
4289, 6.584149599075320e-01, 5.505802896958654e-02, -6.423107534706995e-02, -5.134538209143801e-01, -5.172031078288192e-01
4315, 6.737585067749020e-01, 5.352110246562625e-02, -3.988435983203964e-02, -1.585777039331163e-01, -1.618904364596429e-01
4341, 6.888993382453920e-01, 5.183742512689340e-02, 8.506364291326078e-02, 5.885925311414391e-01, 5.943730744433185e-01
4367, 7.042160034179690e-01, 5.015751345421760e-02, 1.143746832804157e-02, 2.037805932179690e-02, 2.154230671886587e-02
4393, 7.193410396575930e-01, 4.836738903971213e-02, -5.576423487554792e-02, -3.028187163276640e-01, -3.073911554361241e-01
4419, 7.341139912605290e-01, 4.643024681347729e-02, 3.384090052496048e-02, 2.633392912325241e-01, 2.655043459226549e-01
4445, 7.489700317382810e-01, 4.450530920048414e-02, 3.574282349760233e-02, 2.022132037603614e-01, 2.051508061287708e-01
4471, 7.636658549308780e-01, 4.253236991417886e-02, -2.894497005906111e-02, -1.541006303090044e-01, -1.566139898742405e-01
4497, 7.780403494834900e-01, 4.048121055105769e-02, 7.406854257793391e-03, 1.121614783997191e-01, 1.120746102813113e-01
4523, 7.922744154930110e-01, 3.842134351026186e-02, 4.937034738468286e-02, 2.938154371973065e-01, 2.978647791558886e-01
4549, 8.063289523124690e-01, 3.635474874980850e-02, -9.008625635688184e-03, -6.519714932989613e-02, -6.581300728448501e-02
4575, 8.201366662979130e-01, 3.427473542081361e-02, -1.923137340718292e-02, -3.150163479405139e-02, -3.403770985170314e-02
4601, 8.336892127990720e-01, 3.218849634975059e-02, 6.376798325569009e-02, 3.444697751703999e-01, 3.501641092007573e-01
4627, 8.470668792724610e-01, 3.012237563198877e-02, -7.787732306952312e-03, -6.052792391571538e-02, -6.100545306412526e-02
4653, 8.601957559585570e-01, 2.806164633785655e-02, -1.306908483294912e-02, 2.302218926878672e-02, 2.068662409945942e-02
4679, 8.730279207229610e-01, 2.599819222554153e-02, 4.341462653222546e-02, 1.811516819632435e-01, 1.857664223332658e-01
4705, 8.855857253074650e-01, 2.394214290794437e-02, -9.290667688708208e-05, 4.499684890126546e-02, 4.438185582640213e-02
4731, 8.978731632232670e-01, 2.190017914399811e-02, 1.641945521526192e-02, 1.276810255429356e-01, 1.286339067937036e-01
4757, 9.098071455955510e-01, 1.985851436872407e-02, 1.810251797445683e-02, 4.138299517296204e-02, 4.386044517005290e-02
4783, 9.214465022087100e-01, 1.782814428752719e-02, -8.191080473573722e-03, 5.937111432729703e-02, 5.701082369545912e-02
4809, 9.327191114425660e-01, 1.577243131244075e-02, 3.552244621756676e-02, 1.894422993264113e-01, 1.927436837440485e-01
4835, 9.435870051383970e-01, 1.363870003580595e-02, 8.391172278377334e-03, 1.761886050330523e-02, 1.894966322904019e-02
4861, 9.540644884109500e-01, 1.137473331785158e-02, -1.334596193590382e-02, 1.581885128657640e-02, 1.246617870394537e-02
4887, 9.641631841659550e-01, 8.960257423365606e-03, 3.749010431611548e-02, 1.223206511110765e-01, 1.277461733052342e-01
4913, 9.738758206367490e-01, 6.467936132009066e-03, -1.877637511503015e-02, 1.138023656545173e-02, 6.321822191997701e-03
4939, 9.830872416496280e-01, 4.071253868702271e-03, 7.723510445511378e-02, 3.880541778514344e-01, 3.952021775492170e-01
4965, 9.918504953384401e-01, 1.976322946492964e-03, 7.324884768133141e-02, -1.030144458652124e-01, -8.391463999701025e-02
4991, 1.000000000000000e+00, 1.699999993434180e-04, -1.668348269013102e-01, -1.079780483693443e+01, 1.071896519739367e+01
