"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          20,      -7.699185772,      -5.401261167,      -5.376621065,      -2.249095046,      -9.584697768,       14525.13454,     0.01199461817,      0.8240000987,                 0,                 0,                 0,     0.09177131176,    -0.02777710238,      0.8236191268,                 0,       68.69748476,    0.005701311134
          0,           0,          21,      -7.696954503,      -5.401539176,      -5.362720509,      -2.246119581,      -9.563554661,       14525.13454,     0.01199463084,      0.8240000751,                 0,                 0,                 0,     0.09177130943,    -0.02777708858,      0.8236191039,                 0,       68.69741021,    0.005701311134
          0,           0,          22,      -7.696241808,      -5.400044886,      -5.350961486,      -2.246164256,      -9.535393837,       14525.13454,     0.01199464158,      0.8240000448,                 0,                 0,                 0,     0.09177130272,     -0.0277770764,      0.8236190742,                 0,        68.6973462,    0.005701311134
          0,           0,          23,      -7.696794057,      -5.397469033,      -5.343073612,       -2.24890256,      -9.509895305,       14525.13454,     0.01199465033,      0.8240000091,                 0,                 0,                 0,     0.09177129219,    -0.02777706593,      0.8236190389,                 0,       68.69729307,    0.005701311134
          0,           0,          24,      -7.698271822,      -5.394437749,      -5.339576598,      -2.253733425,      -9.492251797,       14525.13454,     0.01199465712,      0.8239999691,                 0,                 0,                 0,     0.09177127853,    -0.02777705721,      0.8236189992,                 0,       68.69725085,    0.005701311134
          0,           0,          25,      -7.700319394,      -5.391409691,      -5.340092261,      -2.259899637,      -9.484136274,       14525.13454,     0.01199466201,      0.8239999261,                 0,                 0,                 0,     0.09177126258,    -0.02777705026,      0.8236189566,                 0,       68.69721929,    0.005701311134
          0,           0,          26,      -7.702626326,      -5.388637366,      -5.343600563,      -2.266606845,      -9.485100663,       14525.13454,     0.01199466508,      0.8239998815,                 0,                 0,                 0,     0.09177124522,    -0.02777704504,      0.8236189122,                 0,       68.69719795,    0.005701311134
          0,           0,          27,      -7.704960626,       -5.38616359,      -5.348648705,      -2.273119419,      -9.493380231,       14525.13454,     0.01199466645,      0.8239998364,                 0,                 0,                 0,     0.09177122729,    -0.02777704149,      0.8236188671,                 0,       68.69718634,    0.005701311134
          0,           0,          28,       -7.70716594,      -5.383837406,       -5.35357892,      -2.278818547,      -9.506277517,       14525.13454,     0.01199466623,      0.8239997915,                 0,                 0,                 0,     0.09177120962,    -0.02777703955,      0.8236188223,                 0,       68.69718389,    0.005701311134
          0,           0,          29,      -7.709130411,      -5.381350798,       -5.35682209,      -2.283222759,      -9.520497021,       14525.13454,     0.01199466452,      0.8239997477,                 0,                 0,                 0,     0.09177119288,    -0.02777703915,      0.8236187785,                 0,       68.69719003,    0.005701311134
          0,           0,          30,      -7.710745995,      -5.378302391,      -5.357232323,      -2.285986347,      -9.532737279,       14525.13454,     0.01199466143,      0.8239997056,                 0,                 0,                 0,     0.09177117766,     -0.0277770402,      0.8236187362,                 0,       68.69720423,    0.005701311134
          0,           0,          31,      -7.711879326,      -5.374286602,      -5.354352055,      -2.286896518,      -9.540580258,       14525.13454,     0.01199465705,      0.8239996652,                 0,                 0,                 0,     0.09177116437,    -0.02777704262,      0.8236186958,                 0,        68.6972259,    0.005701311134
          0,           0,          32,      -7.712368355,       -5.36899118,       -5.34847823,      -2.285881132,      -9.543271038,       14525.13454,      0.0119946515,      0.8239996269,                 0,                 0,                 0,     0.09177115328,    -0.02777704632,      0.8236186572,                 0,        68.6972545,    0.005701311134
          0,           0,          33,      -7.712046707,      -5.362274563,      -5.340493438,      -2.283021676,      -9.541813798,       14525.13454,     0.01199464487,      0.8239995906,                 0,                 0,                 0,     0.09177114452,    -0.02777705118,      0.8236186206,                 0,       68.69728943,    0.005701311134
          0,           0,          34,      -7.710784946,      -5.354195506,      -5.331556546,      -2.278553551,      -9.538306619,       14525.13454,     0.01199463728,       0.823999556,                 0,                 0,                 0,     0.09177113809,     -0.0277770571,      0.8236185857,                 0,       68.69733005,    0.005701311134
          0,           0,          35,      -7.708530299,      -5.344984207,       -5.32279636,      -2.272837985,      -9.535043595,       14525.13454,     0.01199462883,      0.8239995231,                 0,                 0,                 0,     0.09177113388,    -0.02777706395,      0.8236185525,                 0,       68.69737569,    0.005701311134
          0,           0,          36,      -7.705327361,      -5.334967332,      -5.315099411,      -2.266304318,      -9.533903649,       14525.13454,     0.01199461966,      0.8239994917,                 0,                 0,                 0,      0.0917711317,     -0.0277770716,      0.8236185206,                 0,        68.6974256,    0.005701311134
          0,           0,          37,      -7.701311669,      -5.324475434,      -5.309004869,      -2.259377689,      -9.536136644,       14525.13454,     0.01199460989,      0.8239994613,                 0,                 0,                 0,     0.09177113127,    -0.02777707989,      0.8236184898,                 0,       68.69747902,    0.005701311134
          0,           0,          38,      -7.696680393,      -5.313763598,      -5.304676996,      -2.252413875,       -9.54239385,       14525.13454,     0.01199459967,      0.8239994319,                 0,                 0,                 0,     0.09177113231,    -0.02777708868,      0.8236184599,                 0,       68.69753513,    0.005701311134
          0,           0,          39,      -7.691652866,      -5.302967191,      -5.301923932,      -2.245658567,      -9.552833844,       14525.13454,     0.01199458912,      0.8239994032,                 0,                 0,                 0,     0.09177113451,    -0.02777709783,      0.8236184308,                 0,       68.69759312,    0.005701311134
          0,           0,          40,      -7.686434423,      -5.292101831,      -5.300248674,      -2.239237638,      -9.567209642,       14525.13454,      0.0119945784,      0.8239993753,                 0,                 0,                 0,     0.09177113753,    -0.02777710719,      0.8236184023,                 0,       68.69765222,    0.005701311134
          0,           0,          41,      -7.681192107,       -5.28110373,      -5.298934817,      -2.233175027,      -9.584905118,       14525.13454,     0.01199456762,      0.8239993479,                 0,                 0,                 0,      0.0917711411,    -0.02777711664,      0.8236183745,                 0,       68.69771169,    0.005701311134
          0,           0,          42,      -7.676043731,      -5.269894916,      -5.297173697,      -2.227427765,      -9.604924536,       14525.13454,     0.01199455689,      0.8239993212,                 0,                 0,                 0,     0.09177114495,    -0.02777712607,      0.8236183473,                 0,       68.69777088,    0.005701311134
          0,           0,          43,      -7.671057138,      -5.258449588,      -5.294227116,      -2.221925144,      -9.625865218,       14525.13454,     0.01199454633,      0.8239992953,                 0,                 0,                 0,     0.09177114884,    -0.02777713537,      0.8236183209,                 0,       68.69782924,    0.005701311134
          0,           0,          44,      -7.666254919,      -5.246836475,      -5.289592778,      -2.216600038,      -9.645933965,       14525.13454,     0.01199453599,      0.8239992702,                 0,                 0,                 0,     0.09177115261,    -0.02777714448,      0.8236182953,                 0,       68.69788634,    0.005701311134
          0,           0,          45,      -7.661620899,      -5.235220755,      -5.283118724,      -2.211404741,      -9.663095845,       14525.13454,     0.01199452595,      0.8239992462,                 0,                 0,                 0,     0.09177115615,    -0.02777715336,      0.8236182709,                 0,       68.69794188,    0.005701311134
          0,           0,          46,      -7.657106809,      -5.223825862,      -5.275020533,      -2.206310191,      -9.675426632,       14525.13454,     0.01199451622,      0.8239992237,                 0,                 0,                 0,      0.0917711594,    -0.02777716198,      0.8236182479,                 0,       68.69799567,    0.005701311134
          0,           0,          47,      -7.652639375,      -5.212871327,      -5.265796115,      -2.201293432,      -9.681621592,       14525.13454,     0.01199450684,      0.8239992027,                 0,                 0,                 0,     0.09177116235,    -0.02777717034,      0.8236182265,                 0,       68.69804767,    0.005701311134
          0,           0,          48,      -7.648128825,      -5.202509636,      -5.256078723,      -2.196321811,      -9.681429989,       14525.13454,     0.01199449779,      0.8239991837,                 0,                 0,                 0,     0.09177116506,    -0.02777717846,      0.8236182071,                 0,        68.6980979,    0.005701311134
          0,           0,          49,       -7.64347952,       -5.19278287,      -5.246487402,      -2.191342826,      -9.675734094,       14525.13454,     0.01199448907,      0.8239991669,                 0,                 0,                 0,     0.09177116765,    -0.02777718637,      0.8236181899,                 0,       68.69814648,    0.005701311134
          0,           0,          50,       -7.63860225,       -5.18361073,      -5.237518219,      -2.186284506,      -9.666210693,       14525.13454,     0.01199448063,      0.8239991527,                 0,                 0,                 0,     0.09177117025,    -0.02777719411,      0.8236181753,                 0,        68.6981936,    0.005701311134
          0,           0,          51,      -7.633426793,      -5.174811771,      -5.229491018,      -2.181067654,      -9.654800921,       14525.13454,     0.01199447246,      0.8239991413,                 0,                 0,                 0,     0.09177117305,    -0.02777720172,      0.8236181635,                 0,       68.69823945,    0.005701311134
          0,           0,          52,      -7.627912359,      -5.166151632,      -5.222544601,      -2.175625644,       -9.64327074,       14525.13454,     0.01199446452,       0.823999133,                 0,                 0,                 0,     0.09177117625,    -0.02777720925,      0.8236181548,                 0,       68.69828424,    0.005701311134
          0,           0,          53,       -7.62205377,       -5.15740541,      -5.216665392,      -2.169925275,      -9.632985432,       14525.13454,     0.01199445678,      0.8239991279,                 0,                 0,                 0,     0.09177118006,    -0.02777721674,      0.8236181494,                 0,       68.69832817,    0.005701311134
          0,           0,          54,       -7.61588211,       -5.14841762,      -5.211734069,      -2.163981688,       -9.62486436,       14525.13454,     0.01199444921,      0.8239991262,                 0,                 0,                 0,     0.09177118467,    -0.02777722422,      0.8236181474,                 0,       68.69837139,    0.005701311134
          0,           0,          55,      -7.609459599,      -5.139143576,      -5.207578532,      -2.157862157,      -9.619431197,       14525.13454,     0.01199444179,       0.823999128,                 0,                 0,                 0,     0.09177119026,    -0.02777723171,      0.8236181488,                 0,       68.69841401,    0.005701311134
          0,           0,          56,      -7.602870251,      -5.129661847,      -5.204023825,      -2.151678028,      -9.616893964,       14525.13454,     0.01199443452,      0.8239991333,                 0,                 0,                 0,     0.09177119699,    -0.02777723923,      0.8236181537,                 0,       68.69845609,    0.005701311134
          0,           0,          57,      -7.596208018,      -5.120157443,      -5.200931813,      -2.145566862,      -9.617222199,       14525.13454,      0.0119944274,      0.8239991419,                 0,                 0,                 0,     0.09177120494,    -0.02777724676,       0.823618162,                 0,       68.69849762,    0.005701311134
          0,           0,          58,      -7.589565116,      -5.110883756,      -5.198225494,      -2.139670169,      -9.620211097,       14525.13454,     0.01199442042,      0.8239991538,                 0,                 0,                 0,     0.09177121418,     -0.0277772543,      0.8236181735,                 0,       68.69853855,    0.005701311134
          0,           0,          59,      -7.583022172,      -5.102116419,      -5.195895639,       -2.13411152,      -9.625532979,       14525.13454,     0.01199441361,      0.8239991686,                 0,                 0,                 0,      0.0917712247,    -0.02777726181,       0.823618188,                 0,       68.69857878,    0.005701311134
          0,           0,          60,      -7.576641675,      -5.094110477,      -5.193991154,      -2.128979582,      -9.632779446,       14525.13454,     0.01199440699,      0.8239991862,                 0,                 0,                 0,     0.09177123645,    -0.02777726928,      0.8236182052,                 0,       68.69861818,    0.005701311134
          0,           0,          61,      -7.570465138,      -5.087068027,       -5.19259731,      -2.124317839,      -9.641497098,       14525.13454,     0.01199440057,       0.823999206,                 0,                 0,                 0,     0.09177124932,    -0.02777727665,      0.8236182247,                 0,        68.6986566,    0.005701311134
          0,           0,          62,      -7.564513735,      -5.081117821,      -5.191807841,      -2.120121836,      -9.651218094,       14525.13454,     0.01199439438,      0.8239992278,                 0,                 0,                 0,     0.09177126316,    -0.02777728388,      0.8236182462,                 0,       68.69869386,    0.005701311134
          0,           0,          63,      -7.558791817,      -5.076305793,      -5.191696918,      -2.116343362,      -9.661485492,       14525.13454,     0.01199438845,      0.8239992511,                 0,                 0,                 0,     0.09177127776,    -0.02777729093,      0.8236182691,                 0,       68.69872981,    0.005701311134
          0,           0,          64,      -7.553292166,      -5.072593382,      -5.192295731,       -2.11289992,      -9.671872831,       14525.13454,     0.01199438278,      0.8239992753,                 0,                 0,                 0,     0.09177129289,    -0.02777729776,      0.8236182931,                 0,       68.69876429,    0.005701311134
          0,           0,          65,       -7.54800197,      -5.069861245,      -5.193576504,      -2.109688032,      -9.681998195,       14525.13454,      0.0119943774,      0.8239993002,                 0,                 0,                 0,     0.09177130832,    -0.02777730434,      0.8236183176,                 0,       68.69879718,    0.005701311134
          0,           0,          66,      -7.542908479,      -5.067916811,      -5.195445674,      -2.106598453,      -9.691534208,       14525.13454,     0.01199437232,      0.8239993251,                 0,                 0,                 0,     0.09177132378,    -0.02777731062,      0.8236183423,                 0,       68.69882837,    0.005701311134
          0,           0,          67,       -7.53800335,      -5.066505485,      -5.197746755,      -2.103530648,      -9.700216269,       14525.13454,     0.01199436753,      0.8239993498,                 0,                 0,                 0,     0.09177133901,    -0.02777731658,      0.8236183667,                 0,       68.69885782,    0.005701311134
          0,           0,          68,      -7.533285336,        -5.0653258,      -5.200272519,      -2.100405338,      -9.707850709,       14525.13454,     0.01199436305,      0.8239993737,                 0,                 0,                 0,     0.09177135379,    -0.02777732221,      0.8236183904,                 0,       68.69888547,    0.005701311134
          0,           0,          69,      -7.528761007,      -5.064048891,      -5.202785496,      -2.097172729,      -9.714322523,       14525.13454,     0.01199435887,      0.8239993966,                 0,                 0,                 0,     0.09177136789,    -0.02777732749,      0.8236184131,                 0,       68.69891133,    0.005701311134
          0,           0,          70,      -7.524443681,      -5.062343037,      -5.205043887,      -2.093815839,      -9.719599756,       14525.13454,     0.01199435498,      0.8239994183,                 0,                 0,                 0,     0.09177138113,    -0.02777733242,      0.8236184345,                 0,       68.69893542,    0.005701311134
          0,           0,          71,      -7.520351014,      -5.059900947,      -5.206830472,      -2.090348661,       -9.72373031,       14525.13454,     0.01199435137,      0.8239994384,                 0,                 0,                 0,     0.09177139337,    -0.02777733701,      0.8236184544,                 0,       68.69895781,    0.005701311134
          0,           0,          72,      -7.516501827,      -5.056468033,      -5.207978101,      -2.086810341,      -9.726828033,       14525.13454,     0.01199434801,      0.8239994569,                 0,                 0,                 0,      0.0917714045,    -0.02777734125,      0.8236184727,                 0,       68.69897854,    0.005701311134
          0,           0,          73,      -7.512912738,      -5.051866713,      -5.208388152,      -2.083256204,      -9.729048221,       14525.13454,     0.01199434491,      0.8239994736,                 0,                 0,                 0,     0.09177141445,    -0.02777734515,      0.8236184893,                 0,       68.69899771,    0.005701311134
          0,           0,          74,      -7.509595177,      -5.046012484,      -5.208038177,      -2.079748097,      -9.730556601,       14525.13454,     0.01199434204,      0.8239994886,                 0,                 0,                 0,      0.0917714232,    -0.02777734874,      0.8236185041,                 0,        68.6990154,    0.005701311134
          0,           0,          75,      -7.506553229,       -5.03891849,      -5.206977373,      -2.076345241,      -9.731498512,       14525.13454,     0.01199433939,      0.8239995018,                 0,                 0,                 0,     0.09177143076,    -0.02777735203,      0.8236185172,                 0,        68.6990317,    0.005701311134
          0,           0,          76,      -7.503782428,      -5.030688259,      -5.205312167,      -2.073096726,      -9.731975351,       14525.13454,     0.01199433694,      0.8239995133,                 0,                 0,                 0,     0.09177143718,    -0.02777735503,      0.8236185286,                 0,       68.69904669,    0.005701311134
          0,           0,          77,      -7.501269738,       -5.02149815,      -5.203185788,      -2.070036965,      -9.732033555,       14525.13454,     0.01199433468,      0.8239995233,                 0,                 0,                 0,     0.09177144252,    -0.02777735777,      0.8236185384,                 0,       68.69906043,    0.005701311134
          0,           0,          78,      -7.498994516,      -5.011574555,      -5.200756753,      -2.067183389,      -9.731668349,       14525.13454,     0.01199433262,      0.8239995318,                 0,                 0,                 0,     0.09177144687,    -0.02777736024,      0.8236185468,                 0,       68.69907299,    0.005701311134
