"PointID","x","y"
2833, 5.049252510070800e-02, 2.576045482852203e-02
2859, 5.469727516174320e-02, 2.666383446718719e-02
2885, 5.909299850463870e-02, 2.756237331334309e-02
2911, 6.365954875946039e-02, 2.846165430707684e-02
2937, 6.838649511337280e-02, 2.936578722706180e-02
2963, 7.332068681716920e-02, 3.026630185347244e-02
2989, 7.843562960624691e-02, 3.117107170491195e-02
3015, 8.375442028045650e-02, 3.207626059993651e-02
3041, 8.928063511848450e-02, 3.298336004044003e-02
3067, 9.501701593399051e-02, 3.389306771782020e-02
3093, 1.010102331638340e-01, 3.479615879670517e-02
3119, 1.072062253952030e-01, 3.570754780836547e-02
3145, 1.136637628078460e-01, 3.661410627981324e-02
3171, 1.203565001487730e-01, 3.752448271804982e-02
3197, 1.272729039192200e-01, 3.844378256786639e-02
3223, 1.344466507434840e-01, 3.936455753534514e-02
3249, 1.419069468975070e-01, 4.027979152593180e-02
3275, 1.496536135673520e-01, 4.119086029526459e-02
3301, 1.576814949512480e-01, 4.210046345438970e-02
3327, 1.660248339176180e-01, 4.299873287062421e-02
3353, 1.746245622634890e-01, 4.390653342678111e-02
3379, 1.835020482540130e-01, 4.481857626428136e-02
3405, 1.926559209823610e-01, 4.573617087511457e-02
3431, 2.020680904388430e-01, 4.666830203736998e-02
3457, 2.117756903171540e-01, 4.760114875998211e-02
3483, 2.217475175857540e-01, 4.854923734885500e-02
3509, 2.320270836353300e-01, 4.949453202668974e-02
3535, 2.426079511642460e-01, 5.044023168693157e-02
3561, 2.535301446914670e-01, 5.136647360117629e-02
3587, 2.647941112518310e-01, 5.226965638067331e-02
3613, 2.764054536819460e-01, 5.314242814736687e-02
3639, 2.883291840553280e-01, 5.400059954321865e-02
3665, 3.005529642105100e-01, 5.484902760577084e-02
3691, 3.130726814270020e-01, 5.568668557583612e-02
3717, 3.258830904960630e-01, 5.651301897150000e-02
3743, 3.389919400215150e-01, 5.731548515317422e-02
3769, 3.523894548416140e-01, 5.809429554709346e-02
3795, 3.660713136196140e-01, 5.884320433561136e-02
3821, 3.800389170646670e-01, 5.954493568454526e-02
3847, 3.942807912826540e-01, 6.019181966156015e-02
3873, 4.087766110897060e-01, 6.079497943472720e-02
3899, 4.235162138938900e-01, 6.134169443077333e-02
3925, 4.384851455688480e-01, 6.183132749681891e-02
3951, 4.536674916744230e-01, 6.224754923873612e-02
3977, 4.690417945384980e-01, 6.256349936898310e-02
4003, 4.845884144306180e-01, 6.279153110470981e-02
4029, 5.002762079238890e-01, 6.290750055175208e-02
4055, 5.160748958587650e-01, 6.290065257983146e-02
4081, 5.319590568542480e-01, 6.277050817246013e-02
4107, 5.478921532630920e-01, 6.250331518650352e-02
4133, 5.638301968574519e-01, 6.208467369226429e-02
4159, 5.797371864318850e-01, 6.150849571857211e-02
4185, 5.956164002418520e-01, 6.079489507596438e-02
4211, 6.114472150802610e-01, 5.994323200182764e-02
4237, 6.271871328353880e-01, 5.894336504970388e-02
4263, 6.428214907646180e-01, 5.779937656666543e-02
4289, 6.584149599075320e-01, 5.654861650189100e-02
4315, 6.737585067749020e-01, 5.511605711966852e-02
4341, 6.888993382453920e-01, 5.353163873842170e-02
4367, 7.042160034179690e-01, 5.194142118843746e-02
4393, 7.193410396575930e-01, 5.022140834029936e-02
4419, 7.341139912605290e-01, 4.832677446958725e-02
4445, 7.489700317382810e-01, 4.641016530596944e-02
4471, 7.636658549308780e-01, 4.440328584097839e-02
4497, 7.780403494834900e-01, 4.227123312609573e-02
4523, 7.922744154930110e-01, 4.007936010415623e-02
4549, 8.063289523124690e-01, 3.782864753708520e-02
4575, 8.201366662979130e-01, 3.551549848045623e-02
4601, 8.336892127990720e-01, 3.315303910924747e-02
4627, 8.470668792724610e-01, 3.077432634182322e-02
4653, 8.601957559585570e-01, 2.837687136951856e-02
4679, 8.730279207229610e-01, 2.596552064073444e-02
4705, 8.855857253074650e-01, 2.356075467181710e-02
4731, 8.978731632232670e-01, 2.117860951999772e-02
4757, 9.098071455955510e-01, 1.881751251511103e-02
4783, 9.214465022087100e-01, 1.650341925738912e-02
4809, 9.327191114425660e-01, 1.423404897678544e-02
4835, 9.435870051383970e-01, 1.201078732313048e-02
4861, 9.540644884109500e-01, 9.843200148535368e-03
4887, 9.641631841659550e-01, 7.741280020391462e-03
4913, 9.738758206367490e-01, 5.717410400115369e-03
4939, 9.830872416496280e-01, 3.770596231191238e-03
4965, 9.918504953384401e-01, 1.930780396642556e-03
4991, 1.000000000000000e+00, 1.699999993434180e-04
