"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,       -4.91349454,      -5.021590674,      -5.066364887,      -4.861989108
          0,           0,          77,      -4.913661046,       -5.02127998,      -5.066088525,      -4.862131294
          0,           0,          78,      -4.913412572,      -5.021538331,      -5.066274393,      -4.861913192
          0,           0,          79,      -4.913587651,      -5.021234293,      -5.066006785,       -4.86206314
          0,           0,          80,      -4.913345052,      -5.021495313,      -5.066199911,      -4.861850672
          0,           0,          81,      -4.913527166,      -5.021196752,      -5.065939465,      -4.862006987
          0,           0,          82,      -4.913289363,       -5.02145989,      -5.066138528,      -4.861799114
          0,           0,          83,      -4.913477284,      -5.021165862,      -5.065883976,      -4.861960688
          0,           0,          84,      -4.913243434,      -5.021430721,      -5.066087931,      -4.861756598
          0,           0,          85,      -4.913436139,      -5.021140432,       -5.06583823,      -4.861922503
          0,           0,          86,      -4.913205547,      -5.021406695,      -5.066046211,      -4.861721531
          0,           0,          87,      -4.913402188,      -5.021119479,        -5.0658005,      -4.861890996
          0,           0,          88,      -4.913174279,      -5.021386888,      -5.066011791,      -4.861692592
          0,           0,          89,      -4.913374158,      -5.021102202,      -5.065769365,      -4.861864988
          0,           0,          90,      -4.913148463,       -5.02137055,      -5.065983381,      -4.861668702
          0,           0,          91,      -4.913351012,      -5.021087947,      -5.065743665,      -4.861843512
          0,           0,          92,      -4.913127145,      -5.021357071,      -5.065959928,      -4.861648975
          0,           0,          93,      -4.913331896,      -5.021076183,      -5.065722446,      -4.861825777
          0,           0,          94,       -4.91310954,      -5.021345948,      -5.065940563,      -4.861632685
          0,           0,          95,      -4.913316108,      -5.021066474,      -5.065704924,      -4.861811129
          0,           0,          96,      -4.913094998,      -5.021336767,      -5.065924571,      -4.861619231
          0,           0,          97,      -4.913303067,      -5.021058458,      -5.065690454,      -4.861799031
          0,           0,          98,      -4.913082986,      -5.021329188,      -5.065911363,      -4.861608117
          0,           0,          99,      -4.913292295,      -5.021051841,      -5.065678502,      -4.861789038
          0,           0,         100,      -4.913073063,      -5.021322929,      -5.065900454,      -4.861598936
          0,           0,         101,      -4.913283397,      -5.021046378,       -5.06566863,      -4.861780783
          0,           0,         102,      -4.913064865,      -5.021317761,      -5.065891443,      -4.861591352
          0,           0,         103,      -4.913276046,      -5.021041866,      -5.065660474,      -4.861773964
          0,           0,         104,      -4.913058093,      -5.021313493,      -5.065883999,      -4.861585087
          0,           0,         105,      -4.913269972,      -5.021038141,      -5.065653737,       -4.86176833
          0,           0,         106,      -4.913052497,      -5.021309967,      -5.065877849,       -4.86157991
          0,           0,         107,      -4.913264955,      -5.021035063,      -5.065648171,      -4.861763675
          0,           0,         108,      -4.913047873,      -5.021307055,      -5.065872768,      -4.861575633
          0,           0,         109,      -4.913260809,      -5.021032521,      -5.065643572,       -4.86175983
          0,           0,         110,      -4.913044053,      -5.021304648,       -5.06586857,      -4.861572099
          0,           0,         111,      -4.913257383,      -5.021030421,      -5.065639772,      -4.861756652
          0,           0,         112,      -4.913040896,       -5.02130266,      -5.065865101,      -4.861569179
          0,           0,         113,      -4.913254551,      -5.021028685,      -5.065636632,      -4.861754025
          0,           0,         114,      -4.913038288,      -5.021301017,      -5.065862235,      -4.861566765
          0,           0,         115,      -4.913252212,      -5.021027251,      -5.065634037,      -4.861751855
          0,           0,         116,      -4.913036132,       -5.02129966,      -5.065859866,      -4.861564771
          0,           0,         117,      -4.913250278,      -5.021026065,      -5.065631893,      -4.861750062
          0,           0,         118,       -4.91303435,      -5.021298538,      -5.065857908,      -4.861563123
          0,           0,         119,       -4.91324868,      -5.021025086,      -5.065630121,      -4.861748579
          0,           0,         120,      -4.913032878,      -5.021297611,       -5.06585629,      -4.861561761
          0,           0,         121,      -4.913247359,      -5.021024276,      -5.065628657,      -4.861747354
          0,           0,         122,      -4.913031661,      -5.021296845,      -5.065854953,      -4.861560636
          0,           0,         123,      -4.913246268,      -5.021023608,      -5.065627446,      -4.861746342
          0,           0,         124,      -4.913030656,      -5.021296212,      -5.065853849,      -4.861559705
          0,           0,         125,      -4.913245366,      -5.021023055,      -5.065626446,      -4.861745506
          0,           0,         126,       -4.91306441,      -5.021322719,      -5.065884291,      -4.861590066
          0,           0,         127,      -4.913634399,      -5.021333726,      -5.065985185,      -4.862094929
          0,           0,         128,      -4.917070924,      -5.024487001,      -5.069574395,      -4.865218755
          0,           0,         129,      -5.267544158,      -5.433165293,      -5.430075335,      -5.244454659
          0,           0,         130,      -5.604781934,      -5.779798699,      -5.803628573,      -5.608276068
          0,           0,         131,      -5.880879966,      -5.935205321,      -6.125525347,      -5.878402926
          0,           0,         132,      -6.098026689,      -6.066812402,      -6.261492504,      -6.074513743
          0,           0,         133,      -6.248664312,        -6.2076079,      -6.268188938,      -6.190194796
          0,           0,         134,      -6.315238996,      -6.258208133,      -6.294450912,      -6.198723874
          0,           0,         135,      -6.325837312,        -6.2247149,      -6.361261753,      -6.171077536
          0,           0,         136,      -6.333754119,      -6.212327693,      -6.455118113,      -6.169046516
