Point ID,Density,Eigenvalues_Density_0,Eigenvalues_Density_1,Eigenvalues_Mach_0,Eigenvalues_Mach_1,Eigenvalues_Pressure_0,Eigenvalues_Pressure_1,Energy,Gradient_Density_X,Gradient_Density_Y,Gradient_Mach_X,Gradient_Mach_Y,Gradient_Pressure_X,Gradient_Pressure_Y,Hessian_Density_XX,Hessian_Density_XY,Hessian_Density_YX,Hessian_Density_YY,Hessian_Mach_XX,Hessian_Mach_XY,Hessian_Mach_YX,Hessian_Mach_YY,Hessian_Pressure_XX,Hessian_Pressure_XY,Hessian_Pressure_YX,Hessian_Pressure_YY,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude
10,1.000000e+00,5.433814e-05,5.326826e-06,9.839896e-07,2.314566e-05,1.168537e-05,1.002218e-06,9.478429e-01,6.793888e-07,2.987150e-07,-3.032544e-07,-2.336345e-07,1.461368e-07,7.537356e-08,5.037924e-05,1.335507e-05,1.335507e-05,9.285724e-06,1.363784e-05,1.096861e-05,1.096861e-05,1.049180e-05,1.109639e-05,2.438294e-06,2.438294e-06,1.591200e-06,1.001413e+00,-4.954133e-09,0.000000e+00,1.001413e+00,2.307692e-01,0.000000e+00,0.000000e+00,2.307692e-01
11,1.000000e+00,1.754478e-05,4.104511e-04,1.442561e-04,3.022867e-05,1.170203e-06,8.339866e-05,9.478430e-01,-5.144316e-06,-2.997474e-06,2.059493e-06,1.166938e-06,-1.056584e-06,-6.513598e-07,4.928187e-05,-1.070629e-04,-1.070629e-04,3.787141e-04,7.914881e-05,-5.643634e-05,-5.643634e-05,9.533601e-05,5.703603e-06,-1.876760e-05,-1.876760e-05,7.886526e-05,1.001413e+00,3.694764e-08,0.000000e+00,1.001413e+00,2.692308e-01,0.000000e+00,0.000000e+00,2.692308e-01
12,9.999994e-01,2.777745e-03,3.191110e-04,1.320850e-04,1.113520e-03,5.541252e-04,4.498409e-05,9.478424e-01,3.404833e-05,2.049869e-05,-1.627022e-05,-4.157017e-06,6.961739e-06,4.018140e-06,2.579148e-03,6.699521e-04,6.699521e-04,5.177076e-04,6.924639e-04,4.857476e-04,4.857476e-04,5.531407e-04,5.260554e-04,1.162050e-04,1.162050e-04,7.305394e-05,1.001413e+00,-2.448716e-07,0.000000e+00,1.001413e+00,3.076923e-01,0.000000e+00,0.000000e+00,3.076923e-01
13,1.000004e+00,4.189466e-04,1.415471e-02,7.697230e-03,9.530795e-04,2.428417e-05,2.865975e-03,9.478462e-01,-1.893900e-04,-1.509982e-04,1.257738e-04,3.096378e-05,-4.022231e-05,-2.839951e-05,1.528456e-03,-3.742853e-03,-3.742853e-03,1.304520e-02,3.846459e-03,-3.337925e-03,-3.337925e-03,4.803850e-03,1.809516e-04,-6.485797e-04,-6.485797e-04,2.709308e-03,1.001417e+00,1.583618e-06,0.000000e+00,1.001417e+00,3.461539e-01,0.000000e+00,0.000000e+00,3.461539e-01
14,9.999802e-01,6.376404e-02,2.065127e-02,1.960329e-02,6.252515e-02,1.465182e-02,4.210074e-03,9.478280e-01,8.126516e-04,6.624684e-04,-9.091555e-04,-1.853823e-04,1.925843e-04,1.237496e-04,3.478784e-02,-2.023917e-02,-2.023917e-02,4.962747e-02,2.089868e-02,-7.343204e-03,-7.343204e-03,6.122975e-02,7.512882e-03,-4.855775e-03,-4.855775e-03,1.134901e-02,1.001399e+00,-8.277800e-06,0.000000e+00,1.001399e+00,3.846154e-01,0.000000e+00,0.000000e+00,3.846154e-01
15,1.000077e+00,1.300537e-01,1.275765e+01,1.159903e+01,1.426998e-01,2.979022e-02,3.393968e+00,9.478907e-01,-2.348794e-03,-4.377281e-03,4.413543e-03,3.635335e-03,-7.366356e-04,-9.356401e-04,8.617095e+00,5.927992e+00,5.927992e+00,4.270613e+00,1.125328e+01,1.959985e+00,1.959985e+00,4.884550e-01,2.329852e+00,1.564459e+00,1.564459e+00,1.093907e+00,1.001450e+00,3.521360e-05,0.000000e+00,1.001450e+00,4.230769e-01,0.000000e+00,0.000000e+00,4.230769e-01
16,9.998943e-01,4.287913e+01,7.605930e+01,6.687714e+01,4.072214e+01,1.141891e+01,2.069099e+01,9.478003e-01,1.733061e+00,9.175050e-02,-1.581803e+00,-1.006270e-01,4.627909e-01,2.462661e-02,6.517961e+01,1.557634e+01,1.557634e+01,5.375883e+01,6.608777e+01,4.474677e+00,4.474677e+00,4.151151e+01,1.775815e+01,4.311839e+00,4.311839e+00,1.435174e+01,1.001489e+00,-5.743064e-05,0.000000e+00,1.001489e+00,4.615385e-01,0.000000e+00,0.000000e+00,4.615385e-01
17,1.485675e+00,2.090874e+01,1.886009e+02,1.228071e+02,1.536120e+01,5.524505e+00,5.562354e+01,1.362762e+00,7.014493e+00,-1.022950e+01,-5.369081e+00,7.440056e+00,2.006519e+00,-2.932408e+00,1.336151e+02,7.872263e+01,7.872263e+01,7.589458e+01,1.195644e+02,1.838218e+01,1.838218e+01,1.860395e+01,3.977681e+01,2.329779e+01,2.329779e+01,2.137123e+01,1.285778e+00,2.402164e-01,0.000000e+00,1.308025e+00,5.384616e-01,7.692308e-03,0.000000e+00,5.385165e-01
18,1.520050e+00,1.008557e+02,6.803436e+01,4.188330e+01,9.256286e+01,2.790887e+01,1.993640e+01,1.390985e+00,2.928062e+00,-5.409358e+00,-2.104316e+00,3.380084e+00,8.683851e-01,-1.573999e+00,7.879639e+01,-1.540788e+01,-1.540788e+01,9.009365e+01,4.341283e+01,-8.670415e+00,-8.670415e+00,9.103334e+01,2.245815e+01,-3.707480e+00,-3.707480e+00,2.538712e+01,1.297961e+00,2.643660e-01,0.000000e+00,1.324610e+00,5.769231e-01,1.538462e-02,0.000000e+00,5.771282e-01
19,1.526718e+00,1.062343e+02,3.415413e+01,1.938517e+01,8.719228e+01,3.042773e+01,1.000883e+01,1.397417e+00,1.305488e+00,-2.109009e+00,-7.715175e-01,1.042317e+00,3.840291e-01,-6.217697e-01,5.778904e+01,-3.383784e+01,-3.383784e+01,8.259940e+01,2.143160e+01,-1.160065e+01,-1.160065e+01,8.514584e+01,1.646750e+01,-9.495497e+00,-9.495497e+00,2.396907e+01,1.301441e+00,2.639169e-01,0.000000e+00,1.327931e+00,6.153846e-01,2.307692e-02,0.000000e+00,6.158172e-01
20,1.528593e+00,6.361111e+01,3.323492e-01,1.649956e+00,4.120964e+01,1.883951e+01,1.204971e-01,1.397337e+00,1.703967e-01,-3.746729e-01,-6.467708e-02,8.650631e-03,4.781836e-02,-1.047760e-01,2.108130e+01,-2.970604e+01,-2.970604e+01,4.286216e+01,2.843878e+00,-6.767993e+00,-6.767993e+00,4.001572e+01,6.041470e+00,-8.704988e+00,-8.704988e+00,1.291853e+01,1.301392e+00,2.633038e-01,0.000000e+00,1.327762e+00,6.538461e-01,3.076923e-02,0.000000e+00,6.545697e-01
21,1.527621e+00,3.234771e+01,7.284552e-01,1.716195e+00,2.196660e+01,9.708477e+00,2.916754e-01,1.395882e+00,5.231486e-02,-1.454466e-01,1.676953e-02,-9.536184e-02,1.034970e-02,-3.340629e-02,1.109633e+01,-1.484357e+01,-1.484357e+01,2.197984e+01,2.327358e+00,-3.464502e+00,-3.464502e+00,2.135544e+01,3.270285e+00,-4.379139e+00,-4.379139e+00,6.729867e+00,1.300736e+00,2.624841e-01,0.000000e+00,1.326956e+00,6.923077e-01,3.846154e-02,0.000000e+00,6.933753e-01
22,1.525657e+00,1.230274e+01,6.030565e-01,2.578805e-01,7.101767e+00,3.546001e+00,1.358059e-01,1.393803e+00,-5.011616e-02,-3.880696e-02,5.050866e-02,-7.777463e-02,-1.651662e-02,-1.012539e-02,4.439355e+00,-5.492387e+00,-5.492387e+00,8.466446e+00,4.644309e-01,-1.170873e+00,-1.170873e+00,6.895216e+00,1.214478e+00,-1.585859e+00,-1.585859e+00,2.467329e+00,1.299246e+00,2.609392e-01,0.000000e+00,1.325190e+00,7.307692e-01,4.615385e-02,0.000000e+00,7.322252e-01
23,1.522136e+00,3.803446e+00,8.973235e-01,2.685871e-01,1.789839e+00,1.033959e+00,2.711532e-01,1.390564e+00,-6.798271e-02,2.294489e-02,5.510098e-02,-8.654755e-02,-2.104266e-02,6.372350e-03,1.850234e+00,-1.364271e+00,-1.364271e+00,2.850536e+00,3.144989e-01,-2.602605e-01,-2.602605e-01,1.743927e+00,5.124347e-01,-3.547309e-01,-3.547309e-01,7.926771e-01,1.297357e+00,2.596788e-01,0.000000e+00,1.323090e+00,7.692308e-01,5.384615e-02,0.000000e+00,7.711131e-01
24,1.520052e+00,9.104197e-01,5.528388e-01,3.538287e-01,5.472105e-01,2.016267e-01,1.738770e-01,1.388623e+00,-4.476288e-02,3.986805e-02,3.825111e-02,-8.670603e-02,-1.370999e-02,1.092158e-02,5.614222e-01,-5.473186e-02,-5.473186e-02,9.018363e-01,5.420424e-01,3.118798e-02,3.118798e-02,3.589967e-01,1.989296e-01,8.220037e-03,8.220037e-03,1.765741e-01,1.296139e+00,2.590849e-01,0.000000e+00,1.321780e+00,8.076923e-01,6.153846e-02,0.000000e+00,8.100332e-01
25,1.519602e+00,1.423576e-02,8.702411e-01,5.311487e-01,3.970036e-01,2.509438e-02,2.571618e-01,1.388179e+00,-6.509681e-03,3.191645e-02,1.575662e-02,-8.315643e-02,-2.199765e-03,9.086873e-03,8.496935e-01,1.310215e-01,1.310215e-01,3.478333e-02,4.005885e-01,-2.163448e-02,-2.163448e-02,5.275637e-01,4.764983e-02,-6.874327e-02,-6.874327e-02,2.346063e-01,1.295897e+00,2.590214e-01,0.000000e+00,1.321530e+00,8.461539e-01,6.923077e-02,0.000000e+00,8.489813e-01
26,1.520160e+00,2.759417e-01,6.894904e-01,4.279684e-01,6.535218e-01,7.721834e-02,1.963760e-01,1.388470e+00,9.705510e-03,1.638019e-02,2.529866e-03,-6.891278e-02,2.764365e-03,5.364396e-03,6.795635e-01,6.329837e-02,6.329837e-02,2.858686e-01,6.474941e-01,3.637653e-02,3.637653e-02,4.339961e-01,8.879970e-02,-3.529703e-02,-3.529703e-02,1.847947e-01,1.296041e+00,2.590611e-01,0.000000e+00,1.321679e+00,8.846154e-01,7.692308e-02,0.000000e+00,8.879535e-01
27,1.520905e+00,2.554439e-01,5.121882e-01,2.187752e-01,5.268399e-01,8.360618e-02,1.352538e-01,1.388880e+00,1.179816e-02,5.697546e-04,-6.522600e-04,-4.887646e-02,3.495400e-03,8.347189e-04,5.060253e-01,3.929766e-02,3.929766e-02,2.616068e-01,5.186070e-01,4.968366e-02,4.968366e-02,2.270081e-01,8.862600e-02,-1.529911e-02,-1.529911e-02,1.302340e-01,1.296187e+00,2.591188e-01,0.000000e+00,1.321833e+00,9.230769e-01,8.461539e-02,0.000000e+00,9.269470e-01
28,1.521534e+00,1.503040e-01,2.948475e-01,6.173224e-02,3.674078e-01,4.866827e-02,6.696858e-02,1.389320e+00,1.232737e-02,-1.243031e-02,-2.027991e-03,-3.965437e-02,3.751606e-03,-2.849646e-03,2.913779e-01,2.212404e-02,2.212404e-02,1.537736e-01,3.592388e-01,4.929836e-02,4.929836e-02,6.990123e-02,5.044694e-02,-5.420940e-03,-5.420940e-03,6.518991e-02,1.296384e+00,2.592890e-01,0.000000e+00,1.322060e+00,9.615384e-01,9.230769e-02,0.000000e+00,9.659590e-01
29,1.521717e+00,1.676221e-01,1.216558e-01,6.646758e-02,3.202792e-01,4.871547e-02,9.943784e-03,1.389358e+00,4.377864e-03,-1.071216e-02,2.018813e-03,-3.433260e-02,1.439760e-03,-2.590669e-03,1.227592e-01,-7.035663e-03,-7.035663e-03,1.665187e-01,3.134962e-01,4.093391e-02,4.093391e-02,7.325054e-02,4.494711e-02,1.148499e-02,1.148499e-02,1.371214e-02,1.296301e+00,2.593167e-01,0.000000e+00,1.321984e+00,1.000000e+00,1.000000e-01,0.000000e+00,1.004988e+00
30,1.521622e+00,1.588520e-01,9.419750e-02,8.427139e-02,3.140370e-01,5.042703e-02,4.471436e-03,1.389207e+00,-1.951323e-03,-7.253913e-03,5.038646e-03,-3.227104e-02,-4.085200e-04,-1.762655e-03,9.574948e-02,-9.896108e-03,-9.896108e-03,1.573000e-01,3.078967e-01,3.705585e-02,3.705585e-02,9.041173e-02,4.596044e-02,1.361302e-02,1.361302e-02,8.938024e-03,1.296139e+00,2.592783e-01,0.000000e+00,1.321818e+00,1.038462e+00,1.076923e-01,0.000000e+00,1.044031e+00
31,1.521365e+00,1.238034e-01,1.154744e-01,2.097436e-02,3.010472e-01,3.775190e-02,9.665044e-03,1.388914e+00,-6.142024e-03,-3.473086e-03,7.436987e-03,-2.858842e-02,-1.656928e-03,-9.883660e-04,1.156743e-01,-1.274855e-03,-1.274855e-03,1.236035e-01,2.935624e-01,4.516923e-02,4.516923e-02,2.845913e-02,3.502204e-02,8.319922e-03,8.319922e-03,1.239491e-02,1.295884e+00,2.592082e-01,0.000000e+00,1.321553e+00,1.076923e+00,1.153846e-01,0.000000e+00,1.083087e+00
32,1.521021e+00,5.399822e-02,1.190476e-01,1.930962e-03,2.606530e-01,2.576702e-02,1.970791e-02,1.388561e+00,-7.702117e-03,-6.445571e-05,7.187647e-03,-2.634127e-02,-2.032631e-03,-2.343944e-04,1.174861e-01,9.956553e-03,9.956553e-03,5.555966e-02,2.537389e-01,4.172586e-02,4.172586e-02,8.845150e-03,2.517812e-02,1.794836e-03,1.794836e-03,2.029682e-02,1.295598e+00,2.591370e-01,0.000000e+00,1.321259e+00,1.115385e+00,1.230769e-01,0.000000e+00,1.122154e+00
33,1.520709e+00,5.405052e-03,1.005858e-01,3.127840e-02,1.907342e-01,9.250317e-03,2.335855e-02,1.388261e+00,-6.659122e-03,3.163597e-03,7.263744e-03,-2.586156e-02,-1.788475e-03,5.595775e-04,9.830105e-02,1.456850e-02,1.456850e-02,7.689771e-03,1.864728e-01,2.571651e-02,2.571651e-02,3.553976e-02,1.062155e-02,-4.179156e-03,-4.179156e-03,2.198732e-02,1.295369e+00,2.590719e-01,0.000000e+00,1.321022e+00,1.153846e+00,1.307692e-01,0.000000e+00,1.161233e+00
34,1.520544e+00,6.182161e-02,1.322258e-01,7.062107e-02,2.726053e-01,2.072186e-03,2.477973e-02,1.388098e+00,-3.375812e-03,4.458920e-03,4.546142e-03,-2.528570e-02,-7.369138e-04,9.479420e-04,1.305358e-01,1.077617e-02,1.077617e-02,6.351160e-02,2.672074e-01,3.257536e-02,3.257536e-02,7.601897e-02,4.279213e-03,-6.726456e-03,-6.726456e-03,2.257271e-02,1.295247e+00,2.590362e-01,0.000000e+00,1.320896e+00,1.192308e+00,1.384615e-01,0.000000e+00,1.200320e+00
35,1.520492e+00,4.078659e-02,1.258102e-01,5.141103e-02,2.594190e-01,4.137671e-03,2.278499e-02,1.388007e+00,-6.393634e-04,5.506967e-03,1.799113e-03,-2.212185e-02,1.745699e-04,9.428796e-04,1.237693e-01,1.301385e-02,1.301385e-02,4.282749e-02,2.538601e-01,3.354685e-02,3.354685e-02,5.696991e-02,5.950070e-03,-5.523730e-03,-5.523730e-03,2.097259e-02,1.295126e+00,2.590092e-01,0.000000e+00,1.320772e+00,1.230769e+00,1.461539e-01,0.000000e+00,1.239417e+00
36,1.520585e+00,1.101078e-02,1.311391e-01,4.756437e-02,2.737043e-01,1.138285e-02,2.041798e-02,1.388050e+00,1.115631e-03,4.105229e-03,1.092749e-04,-1.865498e-02,7.676906e-04,3.273975e-04,1.282555e-01,1.838702e-02,1.838702e-02,1.389434e-02,2.676608e-01,3.647110e-02,3.647110e-02,5.360782e-02,1.226101e-02,-2.676397e-03,-2.676397e-03,1.953983e-02,1.295108e+00,2.590104e-01,0.000000e+00,1.320754e+00,1.269231e+00,1.538462e-01,0.000000e+00,1.278521e+00
37,1.520655e+00,1.928435e-02,1.082378e-01,1.753880e-02,2.339424e-01,1.010512e-02,6.890193e-03,1.388065e+00,7.620893e-04,4.037815e-03,-2.517815e-04,-1.411882e-02,7.189469e-04,-1.330009e-04,1.061026e-01,1.361535e-02,1.361535e-02,2.141959e-02,2.281592e-01,3.490087e-02,3.490087e-02,2.332206e-02,9.792646e-03,9.523284e-04,9.523284e-04,7.202663e-03,1.295049e+00,2.590085e-01,0.000000e+00,1.320696e+00,1.307692e+00,1.615385e-01,0.000000e+00,1.317632e+00
38,1.520686e+00,2.178789e-02,8.666230e-02,1.723108e-02,1.808702e-01,7.231701e-03,1.854112e-04,1.388060e+00,-5.148976e-04,4.470571e-03,1.555747e-04,-1.129586e-02,3.764199e-04,-3.100536e-04,8.510505e-02,9.929773e-03,9.929773e-03,2.334514e-02,1.764970e-01,2.639118e-02,2.639118e-02,2.160424e-02,6.546847e-03,2.087260e-03,2.087260e-03,8.702652e-04,1.294997e+00,2.590048e-01,0.000000e+00,1.320644e+00,1.346154e+00,1.692308e-01,0.000000e+00,1.356750e+00
39,1.520672e+00,2.599724e-02,1.231528e-01,9.819344e-03,2.444916e-01,6.258873e-03,1.126865e-03,1.388027e+00,-1.542307e-03,5.208642e-03,3.404987e-04,-1.036832e-02,1.175108e-04,-2.119317e-04,1.208207e-01,1.487078e-02,1.487078e-02,2.832937e-02,2.382201e-01,3.784717e-02,3.784717e-02,1.609081e-02,5.760075e-03,1.520209e-03,1.520209e-03,1.625663e-03,1.294944e+00,2.589948e-01,0.000000e+00,1.320590e+00,1.384615e+00,1.769231e-01,0.000000e+00,1.395873e+00
40,1.520622e+00,1.662119e-02,1.754784e-01,1.951607e-02,3.373653e-01,3.968511e-03,1.470822e-03,1.387952e+00,-2.216418e-03,6.910329e-03,-2.808969e-04,-7.849267e-03,4.037824e-05,-9.038681e-05,1.716652e-01,2.431492e-02,2.431492e-02,2.043440e-02,3.288710e-01,5.126169e-02,5.126169e-02,2.801039e-02,3.725752e-03,7.398684e-04,7.398684e-04,1.713581e-03,1.294839e+00,2.589731e-01,0.000000e+00,1.320483e+00,1.423077e+00,1.846154e-01,0.000000e+00,1.435002e+00
41,1.520566e+00,1.105705e-02,1.610104e-01,6.987147e-03,3.195851e-01,2.133678e-03,2.742326e-03,1.387877e+00,-2.298586e-03,8.299084e-03,-1.182380e-03,-5.752408e-03,3.308518e-05,-3.432481e-05,1.574109e-01,2.295208e-02,2.295208e-02,1.465653e-02,3.112311e-01,5.041478e-02,5.041478e-02,1.534113e-02,2.192835e-03,-1.802944e-04,-1.802944e-04,2.683170e-03,1.294729e+00,2.589516e-01,0.000000e+00,1.320371e+00,1.461538e+00,1.923077e-01,0.000000e+00,1.474136e+00
42,1.520986e+00,5.467132e-02,3.606549e-01,1.140019e-01,6.889837e-01,3.729290e-03,2.561466e-03,1.387805e+00,-4.452653e-03,1.789970e-02,-6.182742e-03,1.374454e-02,1.989053e-04,-7.197035e-05,3.533101e-01,4.683430e-02,4.683430e-02,6.201616e-02,6.736177e-01,9.273119e-02,9.273119e-02,1.293679e-01,3.615785e-03,3.459343e-04,3.459343e-04,2.674971e-03,1.294808e+00,2.589685e-01,0.000000e+00,1.320451e+00,1.500000e+00,2.400000e-01,0.000000e+00,1.519079e+00
43,1.521910e+00,1.400400e-01,4.476397e-01,2.266311e-01,8.802902e-01,5.492148e-03,1.138332e-03,1.388477e+00,-1.017662e-02,3.688610e-02,-1.486295e-02,5.063402e-02,-7.484011e-05,-1.584554e-04,4.402561e-01,4.708166e-02,4.708166e-02,1.474237e-01,8.628216e-01,1.054200e-01,1.054200e-01,2.440998e-01,5.068985e-03,1.289692e-03,1.289692e-03,1.561495e-03,1.295997e+00,2.592001e-01,0.000000e+00,1.321663e+00,1.500000e+00,2.800000e-01,0.000000e+00,1.525910e+00
44,1.523724e+00,8.592939e-02,7.651008e-02,9.359109e-02,1.974961e-01,6.638923e-03,2.237310e-03,1.390381e+00,-9.809425e-03,4.972832e-02,-1.672290e-02,7.682324e-02,1.802298e-04,-2.155427e-04,7.673617e-02,-1.441735e-03,-1.441735e-03,8.570330e-02,1.947193e-01,1.675747e-02,1.675747e-02,9.636789e-02,6.211115e-03,1.303851e-03,1.303851e-03,2.665119e-03,1.298923e+00,2.597857e-01,0.000000e+00,1.324646e+00,1.500000e+00,3.200000e-01,0.000000e+00,1.533754e+00
45,1.525755e+00,5.190853e-01,1.357012e-01,7.968452e-01,1.864317e-01,2.020237e-03,3.982438e-03,1.392679e+00,-3.083102e-03,3.872310e-02,-8.163965e-03,6.364764e-02,4.230079e-04,-4.020687e-04,1.449039e-01,-5.868134e-02,-5.868134e-02,5.098825e-01,2.027446e-01,-9.844550e-02,-9.844550e-02,7.805323e-01,2.210951e-03,-5.812455e-04,-5.812455e-04,3.791725e-03,1.302410e+00,2.604851e-01,0.000000e+00,1.328203e+00,1.500000e+00,3.600000e-01,0.000000e+00,1.542595e+00
46,1.526820e+00,5.208023e-01,1.159116e-01,8.768562e-01,1.616894e-01,8.938073e-04,1.139198e-02,1.393923e+00,1.113234e-03,1.348086e-02,-7.491218e-04,2.275208e-02,2.870034e-04,-9.064368e-05,3.664376e-01,1.966529e-01,1.966529e-01,2.702762e-01,4.354997e-01,-3.476320e-01,-3.476320e-01,6.030458e-01,4.896079e-03,-5.098860e-03,-5.098860e-03,7.389712e-03,1.304308e+00,2.608447e-01,0.000000e+00,1.330135e+00,1.500000e+00,4.000000e-01,0.000000e+00,1.552418e+00
