"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,          63,      -5.057674723,      -7.456202292,      -7.841022506,       -10.4459617,      -5.658219632
          0,           0,          64,      -5.053719237,      -7.455249036,       -7.83921417,      -10.43985664,      -5.664730343
          0,           0,          65,      -5.049654883,       -7.45417178,        -7.8366724,      -10.43380528,      -5.670904365
          0,           0,          66,      -5.045334991,      -7.452903274,      -7.833551462,      -10.42770154,      -5.676678459
          0,           0,          67,      -5.040611985,      -7.451379419,      -7.830018818,      -10.42142884,      -5.682003286
          0,           0,          68,      -5.035356162,      -7.449543731,      -7.826248125,      -10.41487904,       -5.68684607
          0,           0,          69,      -5.029474695,      -7.447351279,      -7.822412151,      -10.40797106,      -5.691191907
          0,           0,          70,      -5.022927603,      -7.444771649,       -7.81867559,      -10.40066633,      -5.695043718
          0,           0,          71,      -5.015737624,      -7.441790604,      -7.815188191,      -10.39297907,      -5.698420971
          0,           0,          72,      -5.007991989,      -7.438410293,       -7.81207882,      -10.38497963,      -5.701357381
          0,           0,          73,      -4.999835841,      -7.434648088,      -7.809451008,      -10.37679108,        -5.7038979
          0,           0,          74,      -4.991458853,      -7.430534298,      -7.807380257,      -10.36857987,      -5.706095313
          0,           0,          75,      -4.983077804,      -7.426109156,      -7.805913063,      -10.36054279,      -5.708006771
          0,           0,          76,      -4.974918223,      -7.421419547,      -7.805067359,      -10.35289229,      -5.709690555
          0,           0,          77,      -4.967197683,      -7.416515865,      -7.804833976,      -10.34584236,      -5.711203269
          0,           0,          78,       -4.96011236,      -7.411449337,      -7.805178725,      -10.33959633,      -5.712597633
          0,           0,          79,      -4.953827443,      -7.406269983,      -7.806044835,      -10.33433714,       -5.71392089
          0,           0,          80,      -4.948471182,      -7.401025254,      -7.807355655,      -10.33022031,      -5.715213828
          0,           0,          81,      -4.944131909,      -7.395759319,      -7.809017698,      -10.32736905,      -5.716510334
          0,           0,          82,      -4.940857245,       -7.39051287,       -7.81092424,      -10.32587089,      -5.717837357
          0,           0,          83,      -4.938654749,      -7.385323311,       -7.81295969,       -10.3257753,       -5.71921517
          0,           0,          84,      -4.937493475,      -7.380225205,      -7.815004902,      -10.32709153,      -5.720657805
          0,           0,          85,      -4.937306113,      -7.375250824,       -7.81694338,      -10.32978624,      -5.722173583
          0,           0,          86,      -4.937991592,      -7.370430729,      -7.818668076,      -10.33378068,      -5.723765672
          0,           0,          87,      -4.939418205,      -7.365794265,       -7.82008824,       -10.3389473,       -5.72543265
          0,           0,          88,      -4.941427446,      -7.361369916,      -7.821135536,      -10.34510598,      -5.727169072
          0,           0,          89,      -4.943838776,      -7.357185439,      -7.821768629,      -10.35202072,      -5.728966057
          0,           0,          90,      -4.946455556,      -7.353267756,      -7.821975571,      -10.35939784,      -5.730811918
          0,           0,          91,      -4.949072242,      -7.349642553,      -7.821773621,      -10.36688745,      -5.732692846
          0,           0,          92,        -4.9514828,      -7.346333602,      -7.821206513,      -10.37409065,      -5.734593653
          0,           0,          93,      -4.953489983,      -7.343361809,      -7.820339602,      -10.38057462,      -5.736498551
          0,           0,          94,      -4.954914902,      -7.340744056,       -7.81925355,      -10.38589739,       -5.73839194
          0,           0,          95,      -4.955606049,      -7.338491892,      -7.818037319,      -10.38964186,      -5.740259145
          0,           0,          96,      -4.955446874,      -7.336610166,      -7.816781178,      -10.39145581,      -5.742087065
          0,           0,          97,      -4.954361076,      -7.335095724,      -7.815570247,      -10.39109103,       -5.74386468
          0,           0,          98,      -4.952315066,      -7.333936271,       -7.81447885,      -10.38843303,      -5.745583386
          0,           0,          99,      -4.949317471,      -7.333109515,      -7.813565795,       -10.3835137,      -5.747237152
          0,           0,         100,      -4.945415983,      -7.332582731,      -7.812870515,       -10.3765035,      -5.748822507
          0,           0,         101,      -4.940692202,      -7.332312831,      -7.812409974,      -10.36768565,      -5.750338387
          0,           0,         102,      -4.935255318,       -7.33224705,       -7.81217624,      -10.35741946,       -5.75178588
          0,           0,         103,      -4.929235463,      -7.332324304,      -7.812134727,      -10.34610155,      -5.753167926
          0,           0,         104,      -4.922777396,      -7.332477251,      -7.812223191,      -10.33413208,      -5.754489001
          0,           0,         105,      -4.916034971,      -7.332635015,       -7.81235174,      -10.32188997,      -5.755754822
          0,           0,         106,      -4.909166576,      -7.332726469,      -7.812404216,        -10.309718,      -5.756972106
          0,           0,         107,      -4.902331528,      -7.332683883,      -7.812241374,      -10.29791617,      -5.758148358
          0,           0,         108,      -4.895687302,      -7.332446675,      -7.811706296,      -10.28674124,      -5.759291723
          0,           0,         109,      -4.889387351,      -7.331964926,      -7.810632287,      -10.27640981,      -5.760410847
          0,           0,         110,      -4.883579267,      -7.331202316,      -7.808853184,      -10.26710324,      -5.761514763
          0,           0,         111,      -4.878403039,      -7.330138147,      -7.806215541,      -10.25897279,      -5.762612769
          0,           0,         112,      -4.873989109,      -7.328768212,       -7.80259158,      -10.25214413,       -5.76371429
          0,           0,         113,       -4.87045595,      -7.327104374,       -7.79789132,      -10.24672061,      -5.764828727
          0,           0,         114,      -4.867906814,      -7.325172884,       -7.79207213,      -10.24278462,      -5.765965285
          0,           0,         115,      -4.866425239,      -7.323011599,      -7.785144129,      -10.24039684,      -5.767132789
          0,           0,         116,      -4.866068781,      -7.320666354,      -7.777170539,      -10.23959259,      -5.768339504
          0,           0,         117,      -4.866860317,      -7.318186844,      -7.768263002,      -10.24037469,      -5.769592973
          0,           0,         118,      -4.868776162,      -7.315622344,      -7.758572792,      -10.24270174,      -5.770899865
          0,           0,         119,      -4.871730226,      -7.313017583,      -7.748279485,      -10.24647067,      -5.772265874
          0,           0,         120,      -4.875553666,      -7.310409041,      -7.737578851,      -10.25149229,      -5.773695646
          0,           0,         121,       -4.87997036,      -7.307821857,      -7.726671501,      -10.25745932,      -5.775192755
          0,           0,         122,      -4.884570315,      -7.305267472,      -7.715753364,      -10.26390804,       -5.77675972
          0,           0,         123,      -4.888786578,      -7.302742121,      -7.705008492,      -10.27017948,      -5.778398059
          0,           0,         124,      -4.891886327,      -7.300226219,      -7.694604238,      -10.27539342,      -5.780108384
          0,           0,         125,      -4.892992242,      -7.297684699,      -7.684688499,      -10.27845915,      -5.781890506
          0,           0,         126,      -4.891151915,      -7.295068354,      -7.675388577,      -10.27815397,      -5.783743579
          0,           0,         127,      -4.885463622,      -7.292316175,      -7.666811155,       -10.2732909,      -5.785666236
          0,           0,         128,      -4.875241829,      -7.289358694,      -7.659042948,      -10.26295821,      -5.787656741
          0,           0,         129,      -4.860173379,      -7.286122224,      -7.652151649,      -10.24675348,      -5.789713132
          0,           0,         130,      -4.840400388,      -7.282533828,      -7.646186916,       -10.2249033,      -5.791833361
          0,           0,         131,      -4.816490584,      -7.278526716,      -7.641181202,      -10.19820308,      -5.794015412
          0,           0,         132,      -4.789309678,      -7.274045671,       -7.63715032,      -10.16781067,      -5.796257408
          0,           0,         133,       -4.75985302,      -7.269052023,      -7.634093707,      -10.13499705,      -5.798557693
          0,           0,         134,      -4.729096861,      -7.263527675,      -7.631994363,      -10.10094883,      -5.800914888
          0,           0,         135,      -4.697901916,      -7.257477749,      -7.630818531,      -10.06665992,       -5.80332792
          0,           0,         136,      -4.666971127,      -7.250931574,      -7.630515188,      -10.03290089,      -5.805796018
          0,           0,         137,      -4.636846659,      -7.243941922,      -7.631015481,      -10.00023565,      -5.808318682
          0,           0,         138,      -4.607928308,      -7.236582643,      -7.632232287,      -9.969058155,      -5.810895616
          0,           0,         139,      -4.580499889,      -7.228945025,      -7.634060129,      -9.939632345,      -5.813526642
          0,           0,         140,      -4.554755735,      -7.221133319,      -7.636375725,       -9.91212733,      -5.816211589
          0,           0,         141,      -4.530823721,      -7.213259939,      -7.639039486,        -9.8866454,       -5.81895016
          0,           0,         142,      -4.508783779,      -7.205440749,       -7.64189829,      -9.863243078,      -5.821741798
          0,           0,         143,      -4.488682119,      -7.197790811,      -7.644789783,      -9.841946397,      -5.824585552
          0,           0,         144,      -4.470541849,      -7.190420783,      -7.647548342,      -9.822761754,      -5.827479949
          0,           0,         145,      -4.454370765,      -7.183434087,      -7.650012605,      -9.805683525,      -5.830422886
          0,           0,         146,      -4.440167005,      -7.176924814,      -7.652034164,      -9.790699347,      -5.833411548
          0,           0,         147,      -4.427923137,        -7.1709763,      -7.653486684,      -9.777793766,      -5.836442356
          0,           0,         148,      -4.417629091,      -7.165660239,       -7.65427445,      -9.766950735,      -5.839510953
          0,           0,         149,      -4.409274263,      -7.161036198,      -7.654339204,      -9.758155289,      -5.842612222
          0,           0,         150,      -4.402849001,      -7.157151377,      -7.653664254,      -9.751394628,      -5.845740342
          0,           0,         151,      -4.398345611,      -7.154040502,      -7.652275218,      -9.746658733,      -5.848888875
          0,           0,         152,      -4.395758982,      -7.151725721,      -7.650237249,      -9.743940589,      -5.852050875
          0,           0,         153,      -4.395086839,       -7.15021642,      -7.647649208,      -9.743236003,      -5.855219017
          0,           0,         154,      -4.396329599,      -7.149508884,      -7.644635646,      -9.744542954,      -5.858385732
          0,           0,         155,      -4.399489751,      -7.149585738,      -7.641337704,      -9.747860348,      -5.861543349
          0,           0,         156,      -4.404570573,      -7.150415165,      -7.637903992,      -9.753185928,      -5.864684219
          0,           0,         157,      -4.411573936,      -7.151949866,      -7.634482297,      -9.760512979,      -5.867800833
          0,           0,         158,      -4.420496764,      -7.154125826,      -7.631212635,      -9.769825295,      -5.870885913
          0,           0,         159,       -4.43132555,      -7.156860949,      -7.628221844,      -9.781089613,      -5.873932483
          0,           0,         160,      -4.444028025,      -7.160053712,      -7.625619678,      -9.794244442,      -5.876933911
          0,           0,         161,      -4.458540757,      -7.163582073,      -7.623496146,      -9.809183803,      -5.879883928
          0,           0,         162,      -4.474751016,      -7.167302938,      -7.621919816,       -9.82573413,       -5.88277663
          0,           0,         163,      -4.492470905,      -7.171052619,      -7.620936768,      -9.843622501,      -5.885606451
          0,           0,         164,      -4.511401801,       -7.17464876,      -7.620569923,      -9.862435271,      -5.888368136
          0,           0,         165,      -4.531088318,      -7.177894252,      -7.620818558,      -9.881569037,      -5.891056705
          0,           0,         166,      -4.550864726,      -7.180583548,        -7.6216579,      -9.900182492,      -5.893667411
          0,           0,         167,      -4.569805026,      -7.182511556,      -7.623038799,      -9.917169452,      -5.896195714
          0,           0,         168,      -4.586702041,      -7.183484865,      -7.624887569,      -9.931188209,      -5.898637257
          0,           0,         169,      -4.600117195,      -7.183334512,       -7.62710621,      -9.940789107,      -5.900987856
          0,           0,         170,      -4.608545599,      -7.181928902,      -7.629573326,      -9.944658954,      -5.903243514
          0,           0,         171,      -4.610704363,       -7.17918511,      -7.632146134,        -9.9419328,      -5.905400434
          0,           0,         172,      -4.605866769,      -7.175076725,      -7.634664004,      -9.932443739,      -5.907455056
          0,           0,         173,      -4.594086124,       -7.16963684,      -7.636953914,      -9.916773802,      -5.909404102
          0,           0,         174,      -4.576178218,      -7.162955635,      -7.638838075,      -9.896075113,      -5.911244624
          0,           0,         175,      -4.553473219,      -7.155172993,      -7.640143636,       -9.87176528,       -5.91297406
          0,           0,         176,      -4.527479443,      -7.146467496,      -7.640713979,      -9.845243258,      -5.914590282
          0,           0,         177,      -4.499608828,      -7.137043603,      -7.640420594,      -9.817711667,      -5.916091641
          0,           0,         178,      -4.471028644,      -7.127118827,      -7.639174141,      -9.790110631,      -5.917477005
          0,           0,         179,      -4.442623656,      -7.116912355,      -7.636933105,      -9.763125957,      -5.918745783
          0,           0,         180,      -4.415022796,      -7.106635974,      -7.633708657,      -9.737231604,      -5.919897933
          0,           0,         181,      -4.388650583,      -7.096487615,      -7.629564901,      -9.712739889,      -5.920933967
          0,           0,         182,      -4.363780061,      -7.086647376,      -7.624614485,      -9.689846556,      -5.921854929
          0,           0,         183,      -4.340577502,      -7.077275631,      -7.619010409,      -9.668666564,      -5.922662377
          0,           0,         184,       -4.31913662,       -7.06851272,       -7.61293538,      -9.649260634,       -5.92335834
          0,           0,         185,      -4.299503367,       -7.06047972,      -7.606590345,      -9.631654168,      -5.923945282
          0,           0,         186,      -4.281693301,      -7.053279884,      -7.600183611,       -9.61585039,      -5.924426053
          0,           0,         187,      -4.265703504,      -7.047000399,      -7.593921598,      -9.601839319,      -5.924803846
          0,           0,         188,      -4.251520642,       -7.04171423,      -7.588001743,      -9.589603806,      -5.925082145
          0,           0,         189,      -4.239126367,      -7.037481893,      -7.582607659,      -9.579123564,      -5.925264685
          0,           0,         190,      -4.228500907,      -7.034353045,      -7.577906335,      -9.570377811,      -5.925355412
          0,           0,         191,       -4.21962544,      -7.032367843,      -7.574046962,       -9.56334699,       -5.92535845
          0,           0,         192,      -4.212483657,      -7.031558027,      -7.571160958,      -9.558013849,       -5.92527807
          0,           0,         193,      -4.207062795,      -7.031947733,      -7.569362751,      -9.554364108,      -5.925118668
          0,           0,         194,      -4.203354318,      -7.033554007,      -7.568750943,      -9.552386833,      -5.924884748
          0,           0,         195,      -4.201354389,       -7.03638702,      -7.569409571,      -9.552074613,      -5.924580905
          0,           0,         196,      -4.201064197,      -7.040449985,      -7.571409211,      -9.553423604,      -5.924211816
          0,           0,         197,      -4.202490222,      -7.045738744,      -7.574807735,      -9.556433453,       -5.92378223
          0,           0,         198,      -4.205644442,      -7.052241013,       -7.57965056,      -9.561107126,       -5.92329696
          0,           0,         199,       -4.21054453,      -7.059935257,      -7.585970212,      -9.567450636,      -5.922760873
          0,           0,         200,      -4.217214025,      -7.068789151,       -7.59378504,      -9.575472621,      -5.922178884
          0,           0,         201,      -4.225682479,      -7.078757619,      -7.603096863,      -9.585183752,      -5.921555948
          0,           0,         202,      -4.235985534,      -7.089780402,      -7.613887307,       -9.59659587,       -5.92089704
          0,           0,         203,      -4.248164891,      -7.101779178,       -7.62611255,      -9.609720741,       -5.92020715
          0,           0,         204,       -4.26226804,      -7.114654281,      -7.639696181,      -9.624568253,      -5.919491265
          0,           0,         205,      -4.278347613,      -7.128281149,      -7.654519935,      -9.641143806,      -5.918754349
          0,           0,         206,      -4.296460061,      -7.142506762,      -7.670412263,      -9.659444521,      -5.918001328
          0,           0,         207,      -4.316663229,      -7.157146513,      -7.687135136,      -9.679453772,      -5.917237066
          0,           0,         208,      -4.339012119,      -7.171982149,      -7.704370336,      -9.701133309,      -5.916466347
          0,           0,         209,      -4.363551704,      -7.186761715,      -7.721707844,      -9.724412057,      -5.915693852
          0,           0,         210,      -4.390305025,      -7.201202569,      -7.738640832,      -9.749170374,      -5.914924134
          0,           0,         211,      -4.419253795,      -7.214998629,      -7.754573754,      -9.775218475,      -5.914161596
          0,           0,         212,      -4.450307359,      -7.227832697,       -7.76885087,       -9.80226793,      -5.913410468
          0,           0,         213,      -4.483254215,      -7.239394004,      -7.780810417,      -9.829896307,      -5.912674781
          0,           0,         214,      -4.517689066,      -7.249399892,      -7.789862505,      -9.857507949,      -5.911958346
          0,           0,         215,      -4.552910097,      -7.257619103,      -7.795577491,      -9.884299729,      -5.911264729
          0,           0,         216,      -4.587791406,       -7.26389288,      -7.797760924,      -9.909249779,      -5.910597226
          0,           0,         217,      -4.620664694,      -7.268149742,      -7.796489487,      -9.931156874,      -5.909958843
          0,           0,         218,      -4.649299859,      -7.270410657,      -7.792094195,      -9.948759222,      -5.909352271
          0,           0,         219,      -4.671131974,      -7.270783466,      -7.785097256,      -9.960939126,      -5.908779865
          0,           0,         220,      -4.683843558,       -7.26944791,      -7.776125204,      -9.966968861,      -5.908243622
          0,           0,         221,       -4.68615967,      -7.266634649,      -7.765824307,       -9.96670054,      -5.907745164
          0,           0,         222,      -4.678384811,      -7.262602421,      -7.754796138,      -9.960603478,      -5.907285719
          0,           0,         223,      -4.662262836,      -7.257617067,      -7.743559198,      -9.949628427,      -5.906866103
          0,           0,         224,      -4.640275419,      -7.251934819,      -7.732533528,      -9.934971672,       -5.90648671
          0,           0,         225,      -4.614887915,      -7.245790813,      -7.722041299,      -9.917845184,      -5.906147503
          0,           0,         226,      -4.588105333,      -7.239392597,      -7.712316374,      -9.899321668,      -5.905848005
          0,           0,         227,      -4.561358668,      -7.232917721,      -7.703517577,      -9.880265997,      -5.905587299
          0,           0,         228,      -4.535577208,      -7.226514263,      -7.695742395,      -9.861329776,      -5.905364033
          0,           0,         229,      -4.511317387,      -7.220303172,      -7.689039468,      -9.842979071,      -5.905176426
          0,           0,         230,      -4.488882648,      -7.214381553,      -7.683419229,      -9.825533073,      -5.905022285
          0,           0,         231,      -4.468414356,      -7.208826223,      -7.678862649,      -9.809201459,      -5.904899025
          0,           0,         232,      -4.449954351,      -7.203697149,      -7.675328325,      -9.794115514,      -5.904803697
          0,           0,         233,       -4.43348569,      -7.199040494,      -7.672758232,      -9.780352004,      -5.904733025
          0,           0,         234,      -4.418958312,      -7.194891179,      -7.671082448,       -9.76795061,      -5.904683444
          0,           0,         235,      -4.406304769,      -7.191274926,      -7.670223148,      -9.756926201,      -5.904651151
          0,           0,         236,      -4.395449608,      -7.188209799,      -7.670098048,      -9.747277235,      -5.904632156
          0,           0,         237,      -4.386314739,      -7.185707313,      -7.670623461,      -9.738991343,      -5.904622347
          0,           0,         238,       -4.37882231,      -7.183773159,      -7.671717006,      -9.732048915,      -5.904617549
          0,           0,         239,      -4.372896005,      -7.182407643,       -7.67330001,      -9.726425283,      -5.904613595
          0,           0,         240,       -4.36846139,      -7.181605886,      -7.675299559,      -9.722091924,        -5.9046064
          0,           0,         241,      -4.365445659,      -7.181357879,      -7.677650141,      -9.719017006,      -5.904592023
          0,           0,         242,      -4.363777028,      -7.181648439,      -7.680294824,      -9.717165464,      -5.904566749
          0,           0,         243,      -4.363383917,      -7.182457138,      -7.683185901,      -9.716498778,      -5.904527148
          0,           0,         244,      -4.364194033,      -7.183758253,      -7.686284985,      -9.716974548,      -5.904470143
          0,           0,         245,       -4.36613342,      -7.185520786,      -7.689562556,      -9.718545957,      -5.904393067
          0,           0,         246,      -4.369125526,      -7.187708606,      -7.692997005,      -9.721161173,       -5.90429371
          0,           0,         247,      -4.373090351,      -7.190280746,      -7.696573281,      -9.724762768,      -5.904170364
          0,           0,         248,      -4.377943733,       -7.19319189,      -7.700281251,      -9.729287191,      -5.904021846
          0,           0,         249,      -4.383596814,      -7.196393072,      -7.704113922,      -9.734664369,      -5.903847521
          0,           0,         250,      -4.389955777,      -7.199832604,      -7.708065673,      -9.740817495,      -5.903647304
          0,           0,         251,      -4.396921916,      -7.203457225,      -7.712130637,      -9.747663085,      -5.903421655
          0,           0,         252,      -4.404392121,      -7.207213443,      -7.716301354,      -9.755111373,      -5.903171557
          0,           0,         253,       -4.41225986,      -7.211049048,      -7.720567784,      -9.763067136,      -5.902898484
          0,           0,         254,      -4.420416702,      -7.214914702,      -7.724916752,      -9.771431011,       -5.90260436
          0,           0,         255,      -4.428754417,      -7.218765551,      -7.729331842,      -9.780101351,      -5.902291504
          0,           0,         256,       -4.43716764,      -7.222562744,       -7.73379374,      -9.788976634,      -5.901962572
          0,           0,         257,      -4.445556995,       -7.22627477,      -7.738280988,      -9.797958381,      -5.901620486
          0,           0,         258,      -4.453832538,      -7.229878503,      -7.742771079,      -9.806954472,      -5.901268368
          0,           0,         259,      -4.461917297,      -7.233359893,      -7.747241795,      -9.815882677,      -5.900909458
          0,           0,         260,      -4.469750612,      -7.236714228,      -7.751672683,       -9.82467416,      -5.900547049
          0,           0,         261,       -4.47729098,      -7.239945973,      -7.756046526,      -9.833276668,      -5.900184404
          0,           0,         262,       -4.48451813,      -7.243068181,      -7.760350691,      -9.841657109,      -5.899824692
          0,           0,         263,      -4.491434087,      -7.246101537,      -7.764578229,       -9.84980327,      -5.899470922
          0,           0,         264,      -4.498063137,      -7.249073108,      -7.768728626,      -9.857724497,      -5.899125877
          0,           0,         265,      -4.504450678,       -7.25201489,      -7.772808136,      -9.865451283,      -5.898792069
          0,           0,         266,      -4.510661115,      -7.254962256,      -7.776829667,      -9.873033816,      -5.898471685
          0,           0,         267,      -4.516775005,      -7.257952378,      -7.780812239,       -9.88053967,      -5.898166554
          0,           0,         268,      -4.522885745,      -7.261022723,      -7.784780041,      -9.888050885,      -5.897878115
          0,           0,         269,      -4.529096108,      -7.264209665,      -7.788761182,      -9.895660712,      -5.897607392
          0,           0,         270,      -4.535514851,      -7.267547253,      -7.792786214,      -9.903470315,      -5.897354981
          0,           0,         271,      -4.542253637,      -7.271066168,       -7.79688654,       -9.91158563,      -5.897121042
          0,           0,         272,      -4.549424359,      -7.274792851,      -7.801092781,      -9.920114569,      -5.896905296
          0,           0,         273,      -4.557136939,      -7.278748814,      -7.805433204,      -9.929164629,      -5.896707032
          0,           0,         274,      -4.565497572,      -7.282950111,      -7.809932256,      -9.938840932,      -5.896525114
          0,           0,         275,      -4.574607367,      -7.287406941,       -7.81460926,      -9.949244637,      -5.896357999
          0,           0,         276,      -4.584561272,      -7.292123391,      -7.819477286,       -9.96047164,      -5.896203752
          0,           0,         277,      -4.595447154,      -7.297097274,      -7.824542222,      -9.972611404,      -5.896060074
          0,           0,         278,        -4.6073449,      -7.302320073,      -7.829802042,      -9.985745772,      -5.895924323
          0,           0,         279,      -4.620325348,      -7.307776991,      -7.835246261,      -9.999947541,      -5.895793548
          0,           0,         280,      -4.634448874,      -7.313447086,      -7.840855601,      -10.01527857,      -5.895664516
