"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          23,       -4.44973666,      -2.085717625,      -2.075089061,      0.9904370509,      -6.107420124,       14525.13454,       0.012640269,      0.8239864161,                 0,                 0,                 0,     0.09282183495,    -0.02716953514,      0.8236353602,                 0,       65.18741147,    0.006851544281
          0,           0,          24,      -4.442208392,      -2.082008576,      -2.070911841,      0.9970035375,      -6.085269773,       14525.13454,     0.01265294487,      0.8239876202,                 0,                 0,                 0,     0.09284151377,    -0.02715693221,      0.8236371752,                 0,       65.12220108,    0.006851544281
          0,           0,          25,      -4.435039864,      -2.078715533,      -2.071550983,       1.002477997,      -6.066951534,       14525.13454,     0.01266469368,       0.823982833,                 0,                 0,                 0,     0.09285824628,    -0.02714496591,       0.823632961,                 0,       65.06141039,    0.006851544281
          0,           0,          26,      -4.428258189,      -2.075439366,      -2.075885113,       1.007266242,      -6.052740353,       14525.13454,     0.01267506422,      0.8239717702,                 0,                 0,                 0,     0.09287130787,    -0.02713407319,      0.8236224119,                 0,       65.00730537,    0.006851544281
          0,           0,          27,       -4.42197993,      -2.071979653,      -2.082353801,       1.011587917,      -6.042682643,       14525.13454,     0.01268369168,      0.8239543767,                 0,                 0,                 0,      0.0928801277,    -0.02712461576,      0.8236054554,                 0,       64.96171601,    0.006851544281
          0,           0,          28,      -4.416331826,      -2.068325653,      -2.089254741,       1.015525311,      -6.036656511,       14525.13454,     0.01269031853,      0.8239308541,                 0,                 0,                 0,     0.09288433368,     -0.0271168606,      0.8235822803,                 0,       64.92593959,    0.006851544281
          0,           0,          29,       -4.41139205,      -2.064600476,      -2.095090581,       1.019091084,      -6.034426877,       14525.13454,     0.01269480734,      0.8239016707,                 0,                 0,                 0,     0.09288378283,     -0.0271109676,      0.8235533477,                 0,       64.90068332,    0.006851544281
          0,           0,          30,      -4.407158112,       -2.06100288,      -2.098886494,       1.022289248,      -6.035702775,       14525.13454,     0.01269714459,      0.8238675505,                 0,                 0,                 0,     0.09287857389,    -0.02710698521,      0.8235193803,                 0,       64.88604936,    0.006851544281
          0,           0,          31,      -4.403544557,      -2.057771001,      -2.100385906,       1.025152423,      -6.040152069,       14525.13454,     0.01269743559,      0.8238294419,                 0,                 0,                 0,     0.09286904121,    -0.02710485407,      0.8234813302,                 0,       64.88156103,    0.006851544281
          0,           0,          32,      -4.400408319,      -2.055164428,      -2.100016918,       1.027743838,      -6.047464839,       14525.13454,     0.01269589123,      0.8237884661,                 0,                 0,                 0,     0.09285573097,    -0.02710441767,      0.8234403276,                 0,       64.88622589,    0.006851544281
          0,           0,          33,      -4.397581055,       -2.05344168,      -2.098656003,       1.030146643,       -6.05733914,       14525.13454,     0.01269280818,      0.8237458524,                 0,                 0,                 0,     0.09283936229,    -0.02710543906,      0.8233976147,                 0,       64.89862929,    0.006851544281
          0,           0,          34,      -4.394900047,      -2.052816562,      -2.097315633,       1.032452954,      -6.069469325,       14525.13454,      0.0126885444,      0.8237028659,                 0,                 0,                 0,     0.09282077736,     -0.0271076218,      0.8233544725,                 0,       64.91704958,    0.006851544281
          0,           0,          35,       -4.39222615,      -2.053390984,      -2.096873098,       1.034765357,      -6.083508078,       14525.13454,     0.01268349222,      0.8236607333,                 0,                 0,                 0,     0.09280088523,    -0.02711063325,       0.823312145,                 0,       64.93958597,    0.006851544281
          0,           0,          36,      -4.389474385,      -2.055081249,      -2.097898917,       1.037175865,      -6.098992466,       14525.13454,     0.01267805108,       0.823620574,                 0,                 0,                 0,     0.09278060398,    -0.02711412852,      0.8232717698,                 0,       64.96428897,    0.006851544281
          0,           0,          37,      -4.386606236,      -2.057565059,      -2.100572906,       1.039775285,      -6.115261753,       14525.13454,     0.01267260205,      0.8235833424,                 0,                 0,                 0,     0.09276080582,    -0.02711777306,      0.8232343184,                 0,       64.98928469,    0.006851544281
          0,           0,          38,      -4.383631403,      -2.060286305,      -2.104681721,       1.042635847,      -6.131398781,       14525.13454,     0.01266748565,      0.8235497825,                 0,                 0,                 0,     0.09274226885,    -0.02712126269,      0.8232005506,                 0,       65.01288459,    0.006851544281
          0,           0,          39,      -4.380606027,      -2.062543462,      -2.109674134,       1.045780647,      -6.146187284,       14525.13454,     0.01266298432,      0.8235204005,                 0,                 0,                 0,     0.09272563856,    -0.02712433974,      0.8231709855,                 0,       65.03367448,    0.006851544281
          0,           0,          40,      -4.377624272,      -2.063665125,      -2.114801532,       1.049157453,      -6.158249574,       14525.13454,     0.01265931031,      0.8234954533,                 0,                 0,                 0,     0.09271140065,    -0.02712680462,        0.82314589,                 0,       65.05057805,    0.006851544281
          0,           0,          41,      -4.374797513,      -2.063224187,      -2.119334911,       1.052634304,      -6.166265137,       14525.13454,     0.01265659915,      0.8234749534,                 0,                 0,                 0,      0.0926998663,    -0.02712852256,      0.8231252831,                 0,       65.06289276,    0.006851544281
          0,           0,          42,      -4.372244646,      -2.061208941,      -2.122797526,       1.055999964,      -6.169310649,       14525.13454,     0.01265490883,      0.8234586882,                 0,                 0,                 0,     0.09269116955,    -0.02712942536,      0.8231089552,                 0,       65.07029794,    0.006851544281
          0,           0,          43,      -4.370071923,      -2.058054688,      -2.125120569,       1.059000459,      -6.167137554,       14525.13454,     0.01265422389,      0.8234462507,                 0,                 0,                 0,     0.09268527592,    -0.02712950883,      0.8230964992,                 0,       65.07283719,    0.006851544281
          0,           0,          44,      -4.368360709,      -2.054524274,      -2.126678971,       1.061385405,      -6.160232119,       14525.13454,     0.01265446383,      0.8234370794,                 0,                 0,                 0,     0.09268200053,    -0.02712882623,      0.8230873501,                 0,       65.07087857,    0.006851544281
